year,week,week_start,metric,vax,value
2021,47,2021-11-21,hosp,vax,9.058613387520847
2021,47,2021-11-21,hosp,unvax,99.45268909096846
2021,47,2021-11-21,deaths,vax,2.180985077164751
2021,47,2021-11-21,deaths,unvax,25.74542245855501
2021,48,2021-11-28,cases,vax,401.75560186100233
2021,48,2021-11-28,cases,unvax,1227.5932938618826
2021,48,2021-11-28,hosp,vax,9.244920451922908
2021,48,2021-11-28,hosp,unvax,115.28640723610616
2021,48,2021-11-28,deaths,vax,1.8008439750926144
2021,48,2021-11-28,deaths,unvax,28.050760017069177
2021,49,2021-12-05,cases,vax,264.6716833837716
2021,49,2021-12-05,cases,unvax,907.247513681865
2021,49,2021-12-05,hosp,vax,6.702403906193126
2021,49,2021-12-05,hosp,unvax,105.83367712495881
2021,49,2021-12-05,deaths,vax,1.3282489950837033
2021,49,2021-12-05,deaths,unvax,26.91904603511065
2021,50,2021-12-12,cases,vax,265.0122988682053
2021,50,2021-12-12,cases,unvax,804.1410505816358
2021,50,2021-12-12,hosp,vax,5.805561228568384
2021,50,2021-12-12,hosp,unvax,90.19165572431163
2021,50,2021-12-12,deaths,vax,0.9850488934181076
2021,50,2021-12-12,deaths,unvax,21.421863526269114
2021,51,2021-12-19,cases,vax,378.462407223153
2021,51,2021-12-19,cases,unvax,742.5663422534461
2021,51,2021-12-19,hosp,vax,5.302143345120665
2021,51,2021-12-19,hosp,unvax,74.3796252919918
2021,51,2021-12-19,deaths,vax,0.8114670926982941
2021,51,2021-12-19,deaths,unvax,20.18802156448707
2021,52,2021-12-26,cases,vax,943.2579649464814
2021,52,2021-12-26,cases,unvax,1341.7298746448382
2021,52,2021-12-26,hosp,vax,9.604462888682049
2021,52,2021-12-26,hosp,unvax,75.23973139714316
2021,52,2021-12-26,deaths,vax,1.0502871639332165
2021,52,2021-12-26,deaths,unvax,17.409279258972603
2022,01,2022-01-02,cases,vax,1687.1273772921347
2022,01,2022-01-02,cases,unvax,2366.091123371057
2022,01,2022-01-02,hosp,vax,17.260939617005686
2022,01,2022-01-02,hosp,unvax,99.50611763293799
2022,01,2022-01-02,deaths,vax,2.132232977179056
2022,01,2022-01-02,deaths,unvax,20.04589136146252
2022,02,2022-01-09,cases,vax,1481.4530007130422
2022,02,2022-01-09,cases,unvax,2658.1592510195273
2022,02,2022-01-09,hosp,vax,17.961210011864203
2022,02,2022-01-09,hosp,unvax,102.46049140054994
