year,week,week_start,cases_boosted,cases_vaxxed,cases_unvaxxed,hosp_boosted,hosp_vaxxed,hosp_unvaxxed,deaths_boosted,deaths_vaxxed,deaths_unvaxxed
2022,18,2022-05-01,360.629541701,213.055321826,274.302195777,7.30193547,10.960254473000001,18.865081454,0.461908885,1.979260695,1.177542121
2022,19,2022-05-08,374.984842429,240.763528038,292.051574304,8.969624793,12.356549756,20.172452097,0.662566376,0.772577198,1.90432247
2022,20,2022-05-15,302.988004695,205.602954541,268.472327422,7.375556945,13.965079282,18.766116878,0.596329009,1.493571356,1.451020496
2022,21,2022-05-22,288.360444548,203.153400797,257.480272882,7.123565762,11.274554939,21.928500196,0.600872791,1.440791741,2.761179092
2022,22,2022-05-29,250.133315007,186.170919293,228.736424452,7.004931245,13.376388943,22.566475255,0.42428581,0.866459114,1.229459748
2022,23,2022-06-05,249.277570901,183.772211901,237.443033599,7.663726193,11.62719513,20.648640877,0.596703391,0.529742013,1.320665661
2022,24,2022-06-12,235.597998049,175.127246915,221.797593631,6.893302282,10.403193186,17.333294413,0.724539331,0.624209569,1.496948222
2022,25,2022-06-19,218.427088515,155.342894674,210.952373757,7.708391562,9.805295548,18.627899881,0.547791952,1.610293942,1.0039231770000001
2022,26,2022-06-26,237.208419492,169.347292257,222.536312073,7.175547818,11.586548001,20.682660466,0.474075144,0.467390111,0.490833437
2022,27,2022-07-03,198.233620499,159.947540786,210.894218658,6.892074004,14.158465079,17.406014863,0.449520302,0.948884756,2.025611999
2022,28,2022-07-10,209.354534413,167.125824656,245.719198278,6.898379226,13.22945759,23.361386403,0.505951292,1.199356751,1.867694462
2022,29,2022-07-17,220.457278478,172.375932566,253.195515554,6.899503769,11.255247081,22.207033355,0.449862931,1.451806621,1.776358252
2022,30,2022-07-24,228.734743498,186.905174198,263.589749612,8.257950438,15.372657631,22.976943212,0.57357775,1.072960522,1.879181055
2022,31,2022-07-31,220.546404852,184.345964503,278.635342732,8.10087858,13.999448244,20.921620653,0.604213359,1.926754174,1.630858365
2022,32,2022-08-07,219.461296734,189.283587744,254.308977216,8.771046738,15.97008216,20.876720879,0.539863806,1.012670467,1.806347438
2022,33,2022-08-14,206.439919295,180.641556546,260.124937382,8.297803948,15.421452235,26.960985638,0.751464119,0.76776787,2.32571092
2022,34,2022-08-21,179.675451242,166.849841118,215.096296289,7.269634137,15.067897446,21.132178172,0.554806345,1.826445266,0.607886163
2022,35,2022-08-28,149.768949513,125.431233521,184.529311264,7.119233592,11.990651509,21.047599286,0.709919847,1.396112342,1.457652905
2022,36,2022-09-04,124.192496657,102.673165629,149.430084285,7.230908012,10.899035295,18.083532591,0.709331384,1.313754827,1.459879784
2022,37,2022-09-11,133.682613308,110.508812704,163.591123337,7.347902389,13.509260062,18.526920479,0.468009955,0.712876619,1.381747078
2022,38,2022-09-18,130.019956275,108.149809087,148.123764285,7.321240779,9.048308741,16.875977007,0.474918401,0.798629834,0.520983662
2022,39,2022-09-25,121.62854399,104.427373149,149.392417496,7.320741015,12.002170379,18.927722417,0.528609426,1.720667284,2.16504263
2022,40,2022-10-02,112.725846203,104.517502925,148.699730336,7.63478138,11.681106636,19.208857641,0.658519924,0.093953193,1.995874152
2022,41,2022-10-09,101.111848231,101.943287853,128.35957634,6.188694572,14.562707305,18.725566594,0.657150329,0.679792482,1.394701859
2022,42,2022-10-16,106.795596847,112.741707477,147.931615462,8.75918274,15.324074234,20.056722871,0.900725026,3.158167636,2.167854865
2022,43,2022-10-23,111.18638775,115.634790938,154.770425251,7.459912682,15.411793076,20.085181998,1.005377895,1.933178071,1.907735272
2022,44,2022-10-30,101.727084789,113.438475422,151.145417303,7.016970388,14.83192503,19.253957402,0.764016197,2.02563208,1.657836258
2022,45,2022-11-06,94.367421533,116.778984054,132.670247259,7.164423308,16.796615739,18.014250729,0.852699814,2.223160243,1.64825062
2022,46,2022-11-13,101.602813836,117.630201791,144.752442637,8.692449855,13.470768959,22.324532345,0.721492634,1.855740263,2.785034071
2022,47,2022-11-20,97.292986938,121.325556742,146.097316997,8.229172638,15.655507218,25.234558936,0.666620878,2.028646593,1.568759073
2022,48,2022-11-27,122.773520974,149.454979582,177.444510003,9.440633027,21.840496567,29.129923701,0.574463636,1.199717316,1.046208885
2022,49,2022-12-04,107.856944508,143.220363407,155.682369072,8.577520053,21.699926289,20.259928061,0.271744899,1.327227404,0.603654066
2022,50,2022-12-11,108.470595491,130.575328499,160.874079306,7.775331283,15.238039939,21.49654043,0.204219362,0,0.523409971
