year,week,week_start,age,vax,metric,value
2021,23,2021-06-06,18-49,vaxxed,deathrate,0
2021,23,2021-06-06,18-49,unvaxxed,deathrate,0
2021,23,2021-06-06,50-64,vaxxed,caserate,3.459522890279156
2021,23,2021-06-06,50-64,unvaxxed,caserate,37.815684310579194
2021,23,2021-06-06,50-64,vaxxed,hosprate,0.6919045780558312
2021,23,2021-06-06,50-64,unvaxxed,hosprate,7.665341414306594
2021,23,2021-06-06,50-64,vaxxed,deathrate,0
2021,23,2021-06-06,50-64,unvaxxed,deathrate,0.25551138047688643
2021,23,2021-06-06,65+,vaxxed,caserate,5.189399786037055
2021,23,2021-06-06,65+,unvaxxed,caserate,69.05175148834518
2021,23,2021-06-06,65+,vaxxed,hosprate,2.128984527604946
2021,23,2021-06-06,65+,unvaxxed,hosprate,22.39516264486871
2021,23,2021-06-06,65+,vaxxed,deathrate,0.13306153297530912
2021,23,2021-06-06,65+,unvaxxed,deathrate,4.665658884347648
2021,24,2021-06-13,12-17,vaxxed,caserate,4.100993807499351
2021,24,2021-06-13,12-17,unvaxxed,caserate,15.530491068580984
2021,24,2021-06-13,12-17,vaxxed,hosprate,0
2021,24,2021-06-13,12-17,unvaxxed,hosprate,0.5546603953064638
2021,24,2021-06-13,12-17,vaxxed,deathrate,0
2021,24,2021-06-13,12-17,unvaxxed,deathrate,0
2021,24,2021-06-13,18-49,vaxxed,caserate,5.041696539430767
2021,24,2021-06-13,18-49,unvaxxed,caserate,31.567452977833423
2021,24,2021-06-13,18-49,vaxxed,hosprate,1.0254298046299866
2021,24,2021-06-13,18-49,unvaxxed,hosprate,2.9344392908971915
2021,24,2021-06-13,18-49,vaxxed,deathrate,0
2021,24,2021-06-13,18-49,unvaxxed,deathrate,0.17784480550892068
2021,24,2021-06-13,50-64,vaxxed,caserate,4.081066301003126
2021,24,2021-06-13,50-64,unvaxxed,caserate,28.238672201798302
2021,24,2021-06-13,50-64,vaxxed,hosprate,0.5441421734670835
2021,24,2021-06-13,50-64,unvaxxed,hosprate,3.694779540422208
2021,24,2021-06-13,50-64,vaxxed,deathrate,0.13603554336677087
2021,24,2021-06-13,50-64,unvaxxed,deathrate,0
2021,24,2021-06-13,65+,vaxxed,caserate,5.164707829829498
2021,24,2021-06-13,65+,unvaxxed,caserate,61.79216591196547
2021,24,2021-06-13,65+,vaxxed,hosprate,1.3242840589306406
2021,24,2021-06-13,65+,unvaxxed,hosprate,19.31005184748921
2021,24,2021-06-13,65+,vaxxed,deathrate,0.26485681178612813
2021,24,2021-06-13,65+,unvaxxed,deathrate,0.9655025923744605
2021,25,2021-06-20,12-17,vaxxed,caserate,0.8388487639563462
2021,25,2021-06-20,12-17,unvaxxed,caserate,17.168855695767878
2021,25,2021-06-20,12-17,vaxxed,hosprate,0
2021,25,2021-06-20,12-17,unvaxxed,hosprate,0.31794177214384955
2021,25,2021-06-20,12-17,vaxxed,deathrate,0
2021,25,2021-06-20,12-17,unvaxxed,deathrate,0
2021,25,2021-06-20,18-49,vaxxed,caserate,3.486831400079035
2021,25,2021-06-20,18-49,unvaxxed,caserate,29.074966637163676
2021,25,2021-06-20,18-49,vaxxed,hosprate,0.4150989761998851
2021,25,2021-06-20,18-49,unvaxxed,hosprate,3.6687655062667104
2021,25,2021-06-20,18-49,vaxxed,deathrate,0.08301979523997702
2021,25,2021-06-20,18-49,unvaxxed,deathrate,0.09171913765666774
2021,25,2021-06-20,50-64,vaxxed,caserate,4.551868542036506
