age,doses,filed_date,report_date
16-17,231401,2022-04-24,2022-04-26
18-49,3937380,2022-04-24,2022-04-26
5-11,404519,2022-04-24,2022-04-26
50-64,2319195,2022-04-24,2022-04-26
65+,2438884,2022-04-24,2022-04-26
Unknown/missing,638,2022-04-24,2022-04-26
12-15,427241,2022-04-21,2022-04-25
16-17,231277,2022-04-21,2022-04-25
18-49,3935458,2022-04-21,2022-04-25
5-11,404134,2022-04-21,2022-04-25
50-64,2313928,2022-04-21,2022-04-25
65+,2428912,2022-04-21,2022-04-25
Unknown/missing,634,2022-04-21,2022-04-25
12-15,427069,2022-04-20,2022-04-22
16-17,231212,2022-04-20,2022-04-22
18-49,3934276,2022-04-20,2022-04-22
5-11,403884,2022-04-20,2022-04-22
50-64,2310811,2022-04-20,2022-04-22
65+,2420186,2022-04-20,2022-04-22
Unknown/missing,630,2022-04-20,2022-04-22
12-15,426878,2022-04-19,2022-04-21
16-17,231123,2022-04-19,2022-04-21
18-49,3932908,2022-04-19,2022-04-21
5-11,403665,2022-04-19,2022-04-21
50-64,2307687,2022-04-19,2022-04-21
65+,2411294,2022-04-19,2022-04-21
Unknown/missing,632,2022-04-19,2022-04-21
12-15,426715,2022-04-18,2022-04-20
16-17,231020,2022-04-18,2022-04-20
18-49,3931619,2022-04-18,2022-04-20
5-11,403441,2022-04-18,2022-04-20
50-64,2304482,2022-04-18,2022-04-20
65+,2401920,2022-04-18,2022-04-20
Unknown/missing,631,2022-04-18,2022-04-20
12-15,426563,2022-04-17,2022-04-19
16-17,230949,2022-04-17,2022-04-19
18-49,3930699,2022-04-17,2022-04-19
5-11,403162,2022-04-17,2022-04-19
50-64,2302307,2022-04-17,2022-04-19
65+,2396817,2022-04-17,2022-04-19
Unknown/missing,625,2022-04-17,2022-04-19
12-15,426197,2022-04-14,2022-04-18
16-17,230759,2022-04-14,2022-04-18
18-49,3928713,2022-04-14,2022-04-18
5-11,402728,2022-04-14,2022-04-18
50-64,2296611,2022-04-14,2022-04-18
65+,2386860,2022-04-14,2022-04-18
Unknown/missing,622,2022-04-14,2022-04-18
12-15,426197,2022-04-14,2022-04-16
16-17,230759,2022-04-14,2022-04-16
18-49,3928713,2022-04-14,2022-04-16
5-11,402728,2022-04-14,2022-04-16
50-64,2296611,2022-04-14,2022-04-16
65+,2386860,2022-04-14,2022-04-16
Unknown/missing,622,2022-04-14,2022-04-16
12-15,426024,2022-04-13,2022-04-15
16-17,230697,2022-04-13,2022-04-15
18-49,3927399,2022-04-13,2022-04-15
5-11,402489,2022-04-13,2022-04-15
50-64,2293717,2022-04-13,2022-04-15
65+,2378637,2022-04-13,2022-04-15
Unknown/missing,619,2022-04-13,2022-04-15
12-15,425842,2022-04-12,2022-04-14
16-17,230587,2022-04-12,2022-04-14
18-49,3925792,2022-04-12,2022-04-14
5-11,402264,2022-04-12,2022-04-14
50-64,2290345,2022-04-12,2022-04-14
65+,2368835,2022-04-12,2022-04-14
Unknown/missing,623,2022-04-12,2022-04-14
12-15,425705,2022-04-11,2022-04-13
16-17,230536,2022-04-11,2022-04-13
18-49,3924613,2022-04-11,2022-04-13
5-11,401944,2022-04-11,2022-04-13
50-64,2287316,2022-04-11,2022-04-13
65+,2358733,2022-04-11,2022-04-13
Unknown/missing,623,2022-04-11,2022-04-13
12-15,425535,2022-04-10,2022-04-12
16-17,230459,2022-04-10,2022-04-12
