age,doses,filed_date,report_date
18-49,2711302,2021-09-13,2021-09-15
50-64,1571529,2021-09-13,2021-09-15
65+,1561817,2021-09-13,2021-09-15
Unknown/missing,349,2021-09-13,2021-09-15
12-15,298744,2021-09-12,2021-09-14
16-17,167311,2021-09-12,2021-09-14
18-49,2707911,2021-09-12,2021-09-14
50-64,1570254,2021-09-12,2021-09-14
65+,1560534,2021-09-12,2021-09-14
Unknown/missing,353,2021-09-12,2021-09-14
12-15,295845,2021-09-09,2021-09-13
16-17,166399,2021-09-09,2021-09-13
18-49,2696808,2021-09-09,2021-09-13
50-64,1566749,2021-09-09,2021-09-13
65+,1558418,2021-09-09,2021-09-13
Unknown/missing,348,2021-09-09,2021-09-13
12-15,294592,2021-09-08,2021-09-10
16-17,165980,2021-09-08,2021-09-10
18-49,2691734,2021-09-08,2021-09-10
50-64,1564888,2021-09-08,2021-09-10
65+,1556667,2021-09-08,2021-09-10
Unknown/missing,350,2021-09-08,2021-09-10
12-15,293151,2021-09-07,2021-09-09
16-17,165435,2021-09-07,2021-09-09
18-49,2686149,2021-09-07,2021-09-09
50-64,1562916,2021-09-07,2021-09-09
65+,1554801,2021-09-07,2021-09-09
Unknown/missing,346,2021-09-07,2021-09-09
12-15,292242,2021-09-06,2021-09-08
16-17,165103,2021-09-06,2021-09-08
18-49,2683022,2021-09-06,2021-09-08
50-64,1561686,2021-09-06,2021-09-08
65+,1554112,2021-09-06,2021-09-08
Unknown/missing,346,2021-09-06,2021-09-08
12-15,287421,2021-09-02,2021-09-07
16-17,163542,2021-09-02,2021-09-07
18-49,2669744,2021-09-02,2021-09-07
50-64,1557308,2021-09-02,2021-09-07
65+,1551526,2021-09-02,2021-09-07
Unknown/missing,335,2021-09-02,2021-09-07
12-15,285177,2021-09-01,2021-09-03
16-17,162880,2021-09-01,2021-09-03
18-49,2663962,2021-09-01,2021-09-03
50-64,1555161,2021-09-01,2021-09-03
65+,1549293,2021-09-01,2021-09-03
Unknown/missing,331,2021-09-01,2021-09-03
12-15,282918,2021-08-31,2021-09-02
16-17,162129,2021-08-31,2021-09-02
18-49,2658335,2021-08-31,2021-09-02
50-64,1552983,2021-08-31,2021-09-02
65+,1547203,2021-08-31,2021-09-02
Unknown/missing,320,2021-08-31,2021-09-02
12-15,280773,2021-08-30,2021-09-01
16-17,161486,2021-08-30,2021-09-01
18-49,2652293,2021-08-30,2021-09-01
50-64,1550502,2021-08-30,2021-09-01
65+,1545619,2021-08-30,2021-09-01
Unknown/missing,324,2021-08-30,2021-09-01
12-15,279177,2021-08-29,2021-08-31
16-17,160994,2021-08-29,2021-08-31
18-49,2648107,2021-08-29,2021-08-31
50-64,1548919,2021-08-29,2021-08-31
65+,1544291,2021-08-29,2021-08-31
Unknown/missing,318,2021-08-29,2021-08-31
12-15,275474,2021-08-26,2021-08-30
16-17,159820,2021-08-26,2021-08-30
18-49,2636474,2021-08-26,2021-08-30
50-64,1544855,2021-08-26,2021-08-30
65+,1541714,2021-08-26,2021-08-30
Unknown/missing,307,2021-08-26,2021-08-30
12-15,273252,2021-08-25,2021-08-27
16-17,159059,2021-08-25,2021-08-27
18-49,2630469,2021-08-25,2021-08-27
50-64,1542579,2021-08-25,2021-08-27
65+,1539592,2021-08-25,2021-08-27
Unknown/missing,304,2021-08-25,2021-08-27
12-15,271130,2021-08-24,2021-08-26
16-17,158352,2021-08-24,2021-08-26
18-49,2624930,2021-08-24,2021-08-26
50-64,1540401,2021-08-24,2021-08-26
65+,1537509,2021-08-24,2021-08-26
Unknown/missing,305,2021-08-24,2021-08-26
12-15,268922,2021-08-23,2021-08-25
16-17,157696,2021-08-23,2021-08-25
18-49,2619080,2021-08-23,2021-08-25
50-64,1538158,2021-08-23,2021-08-25
65+,1536342,2021-08-23,2021-08-25
Unknown/missing,302,2021-08-23,2021-08-25
12-15,267330,2021-08-22,2021-08-24
16-17,157211,2021-08-22,2021-08-24
18-49,2615182,2021-08-22,2021-08-24
50-64,1536744,2021-08-22,2021-08-24
65+,1535317,2021-08-22,2021-08-24
Unknown/missing,304,2021-08-22,2021-08-24
12-15,263672,2021-08-19,2021-08-23
16-17,155988,2021-08-19,2021-08-23
18-49,2603844,2021-08-19,2021-08-23
50-64,1532698,2021-08-19,2021-08-23
65+,1532721,2021-08-19,2021-08-23
Unknown/missing,294,2021-08-19,2021-08-23
12-15,261543,2021-08-18,2021-08-20
16-17,155333,2021-08-18,2021-08-20
18-49,2598119,2021-08-18,2021-08-20
50-64,1530368,2021-08-18,2021-08-20
65+,1530990,2021-08-18,2021-08-20
Unknown/missing,291,2021-08-18,2021-08-20
12-15,259456,2021-08-17,2021-08-19
16-17,154691,2021-08-17,2021-08-19
18-49,2592397,2021-08-17,2021-08-19
50-64,1528316,2021-08-17,2021-08-19
65+,1530417,2021-08-17,2021-08-19
Unknown/missing,286,2021-08-17,2021-08-19
12-15,257581,2021-08-16,2021-08-18
16-17,154158,2021-08-16,2021-08-18
18-49,2586892,2021-08-16,2021-08-18
50-64,1526249,2021-08-16,2021-08-18
65+,1529024,2021-08-16,2021-08-18
Unknown/missing,282,2021-08-16,2021-08-18
12-15,255990,2021-08-15,2021-08-17
16-17,153638,2021-08-15,2021-08-17
18-49,2582425,2021-08-15,2021-08-17
50-64,1524596,2021-08-15,2021-08-17
65+,1527982,2021-08-15,2021-08-17
Unknown/missing,284,2021-08-15,2021-08-17
12-15,252060,2021-08-12,2021-08-16
16-17,152303,2021-08-12,2021-08-16
18-49,2570394,2021-08-12,2021-08-16
50-64,1520546,2021-08-12,2021-08-16
65+,1526439,2021-08-12,2021-08-16
Unknown/missing,274,2021-08-12,2021-08-16
12-15,249734,2021-08-11,2021-08-13
16-17,151639,2021-08-11,2021-08-13
18-49,2565207,2021-08-11,2021-08-13
50-64,1518643,2021-08-11,2021-08-13
65+,1525404,2021-08-11,2021-08-13
Unknown/missing,275,2021-08-11,2021-08-13
12-15,247549,2021-08-10,2021-08-12
16-17,150994,2021-08-10,2021-08-12
18-49,2560443,2021-08-10,2021-08-12
50-64,1517096,2021-08-10,2021-08-12
65+,1524619,2021-08-10,2021-08-12
Unknown/missing,273,2021-08-10,2021-08-12
12-15,245750,2021-08-09,2021-08-11
16-17,150473,2021-08-09,2021-08-11
18-49,2556762,2021-08-09,2021-08-11
50-64,1515974,2021-08-09,2021-08-11
65+,1524831,2021-08-09,2021-08-11
Unknown/missing,274,2021-08-09,2021-08-11
12-15,244254,2021-08-08,2021-08-10
16-17,150020,2021-08-08,2021-08-10
18-49,2552998,2021-08-08,2021-08-10
50-64,1514646,2021-08-08,2021-08-10
65+,1524015,2021-08-08,2021-08-10
Unknown/missing,272,2021-08-08,2021-08-10
12-15,240470,2021-08-05,2021-08-09
16-17,148845,2021-08-05,2021-08-09
18-49,2541559,2021-08-05,2021-08-09
50-64,1511046,2021-08-05,2021-08-09
65+,1522737,2021-08-05,2021-08-09
Unknown/missing,261,2021-08-05,2021-08-09
12-15,238284,2021-08-04,2021-08-06
16-17,148138,2021-08-04,2021-08-06
18-49,2535892,2021-08-04,2021-08-06
50-64,1509089,2021-08-04,2021-08-06
65+,1521824,2021-08-04,2021-08-06
Unknown/missing,256,2021-08-04,2021-08-06
12-15,236184,2021-08-03,2021-08-05
16-17,147444,2021-08-03,2021-08-05
18-49,2530349,2021-08-03,2021-08-05
50-64,1507257,2021-08-03,2021-08-05
65+,1520932,2021-08-03,2021-08-05
Unknown/missing,254,2021-08-03,2021-08-05
12-15,234207,2021-08-02,2021-08-04
16-17,146841,2021-08-02,2021-08-04
18-49,2525426,2021-08-02,2021-08-04
50-64,1505506,2021-08-02,2021-08-04
65+,1520070,2021-08-02,2021-08-04
Unknown/missing,251,2021-08-02,2021-08-04
12-15,232719,2021-08-01,2021-08-03
16-17,146387,2021-08-01,2021-08-03
18-49,2521914,2021-08-01,2021-08-03
50-64,1504261,2021-08-01,2021-08-03
65+,1518507,2021-08-01,2021-08-03
Unknown/missing,252,2021-08-01,2021-08-03
12-15,229463,2021-07-29,2021-08-02
16-17,145362,2021-07-29,2021-08-02
18-49,2512134,2021-07-29,2021-08-02
50-64,1500977,2021-07-29,2021-08-02
65+,1517308,2021-07-29,2021-08-02
Unknown/missing,243,2021-07-29,2021-08-02
12-15,227739,2021-07-28,2021-07-30
16-17,144827,2021-07-28,2021-07-30
18-49,2507639,2021-07-28,2021-07-30
50-64,1499333,2021-07-28,2021-07-30
65+,1516489,2021-07-28,2021-07-30
Unknown/missing,242,2021-07-28,2021-07-30
12-15,225986,2021-07-27,2021-07-29
16-17,144290,2021-07-27,2021-07-29
18-49,2503035,2021-07-27,2021-07-29
50-64,1497626,2021-07-27,2021-07-29
65+,1515624,2021-07-27,2021-07-29
Unknown/missing,236,2021-07-27,2021-07-29
12-15,223951,2021-07-26,2021-07-28
16-17,143749,2021-07-26,2021-07-28
18-49,2497618,2021-07-26,2021-07-28
50-64,1495803,2021-07-26,2021-07-28
65+,1514676,2021-07-26,2021-07-28
Unknown/missing,232,2021-07-26,2021-07-28
12-15,223042,2021-07-25,2021-07-27
16-17,143508,2021-07-25,2021-07-27
18-49,2495079,2021-07-25,2021-07-27
50-64,1494810,2021-07-25,2021-07-27
65+,1514041,2021-07-25,2021-07-27
Unknown/missing,229,2021-07-25,2021-07-27
12-15,220800,2021-07-22,2021-07-26
16-17,142814,2021-07-22,2021-07-26
18-49,2488087,2021-07-22,2021-07-26
50-64,1492143,2021-07-22,2021-07-26
65+,1513047,2021-07-22,2021-07-26
Unknown/missing,221,2021-07-22,2021-07-26
12-15,219365,2021-07-21,2021-07-23
16-17,142329,2021-07-21,2021-07-23
18-49,2484228,2021-07-21,2021-07-23
50-64,1490545,2021-07-21,2021-07-23
65+,1512194,2021-07-21,2021-07-23
Unknown/missing,218,2021-07-21,2021-07-23
12-15,217858,2021-07-20,2021-07-22
16-17,141867,2021-07-20,2021-07-22
18-49,2480368,2021-07-20,2021-07-22
50-64,1489105,2021-07-20,2021-07-22
65+,1511355,2021-07-20,2021-07-22
Unknown/missing,215,2021-07-20,2021-07-22
12-15,216418,2021-07-19,2021-07-21
16-17,141452,2021-07-19,2021-07-21
18-49,2476967,2021-07-19,2021-07-21
50-64,1488038,2021-07-19,2021-07-21
65+,1511819,2021-07-19,2021-07-21
Unknown/missing,216,2021-07-19,2021-07-21
12-15,215286,2021-07-18,2021-07-20
16-17,141141,2021-07-18,2021-07-20
18-49,2474353,2021-07-18,2021-07-20
50-64,1487064,2021-07-18,2021-07-20
65+,1511207,2021-07-18,2021-07-20
Unknown/missing,212,2021-07-18,2021-07-20
12-15,213127,2021-07-15,2021-07-19
16-17,140470,2021-07-15,2021-07-19
18-49,2468398,2021-07-15,2021-07-19
50-64,1485006,2021-07-15,2021-07-19
65+,1510318,2021-07-15,2021-07-19
Unknown/missing,205,2021-07-15,2021-07-19
12-15,211602,2021-07-14,2021-07-16
16-17,140059,2021-07-14,2021-07-16
18-49,2465121,2021-07-14,2021-07-16
50-64,1483788,2021-07-14,2021-07-16
65+,1509635,2021-07-14,2021-07-16
Unknown/missing,202,2021-07-14,2021-07-16
12-15,208519,2021-07-12,2021-07-14
16-17,139135,2021-07-12,2021-07-14
18-49,2457479,2021-07-12,2021-07-14
50-64,1480901,2021-07-12,2021-07-14
65+,1505082,2021-07-12,2021-07-14
Unknown/missing,203,2021-07-12,2021-07-14
12-15,207548,2021-07-11,2021-07-13
16-17,138840,2021-07-11,2021-07-13
18-49,2454922,2021-07-11,2021-07-13
50-64,1480019,2021-07-11,2021-07-13
65+,1504488,2021-07-11,2021-07-13
Unknown/missing,203,2021-07-11,2021-07-13
12-15,205327,2021-07-08,2021-07-12
16-17,138086,2021-07-08,2021-07-12
18-49,2448569,2021-07-08,2021-07-12
50-64,1478019,2021-07-08,2021-07-12
65+,1503564,2021-07-08,2021-07-12
Unknown/missing,199,2021-07-08,2021-07-12
12-15,203529,2021-07-07,2021-07-09
16-17,137563,2021-07-07,2021-07-09
18-49,2444698,2021-07-07,2021-07-09
50-64,1476603,2021-07-07,2021-07-09
65+,1502799,2021-07-07,2021-07-09
Unknown/missing,200,2021-07-07,2021-07-09
12-15,201855,2021-07-06,2021-07-08
16-17,137095,2021-07-06,2021-07-08
18-49,2440927,2021-07-06,2021-07-08
50-64,1475372,2021-07-06,2021-07-08
65+,1502110,2021-07-06,2021-07-08
Unknown/missing,206,2021-07-06,2021-07-08
12-15,199948,2021-07-05,2021-07-07
16-17,136595,2021-07-05,2021-07-07
18-49,2436567,2021-07-05,2021-07-07
50-64,1474053,2021-07-05,2021-07-07
65+,1502156,2021-07-05,2021-07-07
Unknown/missing,200,2021-07-05,2021-07-07
12-15,198556,2021-07-02,2021-07-06
16-17,136177,2021-07-02,2021-07-06
18-49,2432555,2021-07-02,2021-07-06
50-64,1472753,2021-07-02,2021-07-06
65+,1501667,2021-07-02,2021-07-06
Unknown/missing,198,2021-07-02,2021-07-06
12-15,197204,2021-07-01,2021-07-03
16-17,135782,2021-07-01,2021-07-03
18-49,2429087,2021-07-01,2021-07-03
50-64,1471557,2021-07-01,2021-07-03
65+,1501106,2021-07-01,2021-07-03
Unknown/missing,199,2021-07-01,2021-07-03
12-15,195228,2021-06-30,2021-07-02
16-17,135292,2021-06-30,2021-07-02
18-49,2425116,2021-06-30,2021-07-02
50-64,1470258,2021-06-30,2021-07-02
65+,1500302,2021-06-30,2021-07-02
Unknown/missing,198,2021-06-30,2021-07-02
12-15,193182,2021-06-29,2021-07-01
16-17,134719,2021-06-29,2021-07-01
18-49,2420789,2021-06-29,2021-07-01
50-64,1468847,2021-06-29,2021-07-01
65+,1499491,2021-06-29,2021-07-01
Unknown/missing,192,2021-06-29,2021-07-01
12-15,190009,2021-06-28,2021-06-30
16-17,133730,2021-06-28,2021-06-30
18-49,2411910,2021-06-28,2021-06-30
50-64,1466111,2021-06-28,2021-06-30
65+,1499433,2021-06-28,2021-06-30
Unknown/missing,196,2021-06-28,2021-06-30
12-15,188641,2021-06-27,2021-06-29
16-17,133363,2021-06-27,2021-06-29
18-49,2408626,2021-06-27,2021-06-29
50-64,1465151,2021-06-27,2021-06-29
65+,1498826,2021-06-27,2021-06-29
Unknown/missing,189,2021-06-27,2021-06-29
12-15,188276,2021-06-26,2021-06-28
16-17,133244,2021-06-26,2021-06-28
18-49,2407583,2021-06-26,2021-06-28
50-64,1464815,2021-06-26,2021-06-28
65+,1498754,2021-06-26,2021-06-28
Unknown/missing,189,2021-06-26,2021-06-28
12-15,186121,2021-06-25,2021-06-27
16-17,132241,2021-06-25,2021-06-27
18-49,2398020,2021-06-25,2021-06-27
50-64,1462144,2021-06-25,2021-06-27
65+,1498179,2021-06-25,2021-06-27
Unknown/missing,185,2021-06-25,2021-06-27
12-15,184192,2021-06-24,2021-06-26
16-17,131347,2021-06-24,2021-06-26
18-49,2390149,2021-06-24,2021-06-26
50-64,1459500,2021-06-24,2021-06-26
65+,1497257,2021-06-24,2021-06-26
Unknown/missing,190,2021-06-24,2021-06-26
12-15,181210,2021-06-23,2021-06-25
16-17,130629,2021-06-23,2021-06-25
18-49,2383364,2021-06-23,2021-06-25
50-64,1457313,2021-06-23,2021-06-25
65+,1496240,2021-06-23,2021-06-25
Unknown/missing,185,2021-06-23,2021-06-25
12-15,178522,2021-06-22,2021-06-24
16-17,129997,2021-06-22,2021-06-24
18-49,2378308,2021-06-22,2021-06-24
50-64,1455483,2021-06-22,2021-06-24
65+,1495272,2021-06-22,2021-06-24
Unknown/missing,183,2021-06-22,2021-06-24
12-15,176396,2021-06-21,2021-06-23
16-17,129469,2021-06-21,2021-06-23
18-49,2373601,2021-06-21,2021-06-23
50-64,1453919,2021-06-21,2021-06-23
65+,1495261,2021-06-21,2021-06-23
Unknown/missing,180,2021-06-21,2021-06-23
12-15,175167,2021-06-20,2021-06-22
16-17,129127,2021-06-20,2021-06-22
18-49,2370201,2021-06-20,2021-06-22
50-64,1452797,2021-06-20,2021-06-22
65+,1494559,2021-06-20,2021-06-22
Unknown/missing,180,2021-06-20,2021-06-22
12-15,174602,2021-06-19,2021-06-21
16-17,128961,2021-06-19,2021-06-21
18-49,2368427,2021-06-19,2021-06-21
50-64,1452227,2021-06-19,2021-06-21
65+,1494452,2021-06-19,2021-06-21
Unknown/missing,179,2021-06-19,2021-06-21
12-15,172156,2021-06-18,2021-06-20
16-17,128422,2021-06-18,2021-06-20
18-49,2363687,2021-06-18,2021-06-20
50-64,1450848,2021-06-18,2021-06-20
65+,1494050,2021-06-18,2021-06-20
Unknown/missing,173,2021-06-18,2021-06-20
12-15,168562,2021-06-17,2021-06-19
16-17,127756,2021-06-17,2021-06-19
18-49,2358356,2021-06-17,2021-06-19
50-64,1449076,2021-06-17,2021-06-19
65+,1493162,2021-06-17,2021-06-19
Unknown/missing,169,2021-06-17,2021-06-19
12-15,163787,2021-06-16,2021-06-18
16-17,126668,2021-06-16,2021-06-18
18-49,2349424,2021-06-16,2021-06-18
50-64,1446147,2021-06-16,2021-06-18
65+,1491890,2021-06-16,2021-06-18
Unknown/missing,169,2021-06-16,2021-06-18
12-15,158887,2021-06-15,2021-06-17
16-17,125700,2021-06-15,2021-06-17
18-49,2342244,2021-06-15,2021-06-17
50-64,1443885,2021-06-15,2021-06-17
65+,1490843,2021-06-15,2021-06-17
Unknown/missing,170,2021-06-15,2021-06-17
12-15,153022,2021-06-14,2021-06-16
16-17,124751,2021-06-14,2021-06-16
18-49,2335046,2021-06-14,2021-06-16
50-64,1441625,2021-06-14,2021-06-16
65+,1490616,2021-06-14,2021-06-16
Unknown/missing,171,2021-06-14,2021-06-16
12-15,146907,2021-06-13,2021-06-15
16-17,123694,2021-06-13,2021-06-15
18-49,2325155,2021-06-13,2021-06-15
50-64,1438663,2021-06-13,2021-06-15
65+,1489471,2021-06-13,2021-06-15
Unknown/missing,167,2021-06-13,2021-06-15
12-15,145848,2021-06-12,2021-06-14
16-17,123425,2021-06-12,2021-06-14
18-49,2322830,2021-06-12,2021-06-14
50-64,1437968,2021-06-12,2021-06-14
65+,1489314,2021-06-12,2021-06-14
Unknown/missing,169,2021-06-12,2021-06-14
12-15,142675,2021-06-11,2021-06-13
16-17,122937,2021-06-11,2021-06-13
18-49,2319517,2021-06-11,2021-06-13
50-64,1436787,2021-06-11,2021-06-13
65+,1488995,2021-06-11,2021-06-13
Unknown/missing,166,2021-06-11,2021-06-13
12-15,135849,2021-06-10,2021-06-12
16-17,121784,2021-06-10,2021-06-12
18-49,2310885,2021-06-10,2021-06-12
50-64,1433933,2021-06-10,2021-06-12
65+,1487971,2021-06-10,2021-06-12
Unknown/missing,157,2021-06-10,2021-06-12
12-15,128228,2021-06-09,2021-06-11
16-17,120484,2021-06-09,2021-06-11
18-49,2302308,2021-06-09,2021-06-11
50-64,1430880,2021-06-09,2021-06-11
65+,1486675,2021-06-09,2021-06-11
Unknown/missing,152,2021-06-09,2021-06-11
12-15,118394,2021-06-08,2021-06-10
16-17,119052,2021-06-08,2021-06-10
18-49,2292868,2021-06-08,2021-06-10
50-64,1427611,2021-06-08,2021-06-10
65+,1485227,2021-06-08,2021-06-10
Unknown/missing,141,2021-06-08,2021-06-10
12-15,110699,2021-06-07,2021-06-09
16-17,117974,2021-06-07,2021-06-09
18-49,2284214,2021-06-07,2021-06-09
50-64,1424673,2021-06-07,2021-06-09
65+,1484871,2021-06-07,2021-06-09
Unknown/missing,134,2021-06-07,2021-06-09
12-15,104829,2021-06-06,2021-06-08
16-17,117117,2021-06-06,2021-06-08
18-49,2277856,2021-06-06,2021-06-08
50-64,1422583,2021-06-06,2021-06-08
65+,1483856,2021-06-06,2021-06-08
Unknown/missing,131,2021-06-06,2021-06-08
12-15,100921,2021-06-05,2021-06-07
16-17,116723,2021-06-05,2021-06-07
18-49,2275204,2021-06-05,2021-06-07
50-64,1421784,2021-06-05,2021-06-07
65+,1483677,2021-06-05,2021-06-07
Unknown/missing,129,2021-06-05,2021-06-07
12-15,93085,2021-06-04,2021-06-06
16-17,115731,2021-06-04,2021-06-06
18-49,2268305,2021-06-04,2021-06-06
50-64,1419479,2021-06-04,2021-06-06
65+,1483120,2021-06-04,2021-06-06
Unknown/missing,124,2021-06-04,2021-06-06
12-15,85533,2021-06-03,2021-06-05
16-17,114765,2021-06-03,2021-06-05
18-49,2260066,2021-06-03,2021-06-05
50-64,1416555,2021-06-03,2021-06-05
65+,1481905,2021-06-03,2021-06-05
Unknown/missing,120,2021-06-03,2021-06-05
12-15,81827,2021-06-02,2021-06-04
16-17,113667,2021-06-02,2021-06-04
18-49,2249836,2021-06-02,2021-06-04
50-64,1412796,2021-06-02,2021-06-04
65+,1480249,2021-06-02,2021-06-04
Unknown/missing,120,2021-06-02,2021-06-04
12-15,79748,2021-06-01,2021-06-03
16-17,112664,2021-06-01,2021-06-03
18-49,2240212,2021-06-01,2021-06-03
50-64,1408965,2021-06-01,2021-06-03
65+,1478458,2021-06-01,2021-06-03
Unknown/missing,115,2021-06-01,2021-06-03
12-15,78691,2021-05-31,2021-06-02
16-17,111983,2021-05-31,2021-06-02
18-49,2233077,2021-05-31,2021-06-02
50-64,1406091,2021-05-31,2021-06-02
65+,1477838,2021-05-31,2021-06-02
Unknown/missing,114,2021-05-31,2021-06-02
12-15,78006,2021-05-29,2021-06-01
16-17,111516,2021-05-29,2021-06-01
18-49,2227631,2021-05-29,2021-06-01
50-64,1404306,2021-05-29,2021-06-01
65+,1477426,2021-05-29,2021-06-01
Unknown/missing,112,2021-05-29,2021-06-01
12-15,76558,2021-05-28,2021-05-30
16-17,110930,2021-05-28,2021-05-30
18-49,2221908,2021-05-28,2021-05-30
50-64,1402355,2021-05-28,2021-05-30
65+,1476970,2021-05-28,2021-05-30
Unknown/missing,109,2021-05-28,2021-05-30
12-15,73589,2021-05-27,2021-05-29
16-17,109764,2021-05-27,2021-05-29
18-49,2209793,2021-05-27,2021-05-29
50-64,1398047,2021-05-27,2021-05-29
65+,1475512,2021-05-27,2021-05-29
Unknown/missing,106,2021-05-27,2021-05-29
12-15,70582,2021-05-26,2021-05-28
16-17,108116,2021-05-26,2021-05-28
18-49,2195675,2021-05-26,2021-05-28
50-64,1392746,2021-05-26,2021-05-28
65+,1473601,2021-05-26,2021-05-28
Unknown/missing,107,2021-05-26,2021-05-28
12-15,66741,2021-05-25,2021-05-27
16-17,106423,2021-05-25,2021-05-27
18-49,2180252,2021-05-25,2021-05-27
50-64,1387206,2021-05-25,2021-05-27
65+,1471488,2021-05-25,2021-05-27
Unknown/missing,105,2021-05-25,2021-05-27
12-15,62711,2021-05-24,2021-05-26
16-17,104526,2021-05-24,2021-05-26
18-49,2162672,2021-05-24,2021-05-26
50-64,1380978,2021-05-24,2021-05-26
65+,1470382,2021-05-24,2021-05-26
Unknown/missing,105,2021-05-24,2021-05-26
12-15,60825,2021-05-23,2021-05-25
16-17,103530,2021-05-23,2021-05-25
18-49,2152582,2021-05-23,2021-05-25
50-64,1377075,2021-05-23,2021-05-25
65+,1468817,2021-05-23,2021-05-25
Unknown/missing,95,2021-05-23,2021-05-25
16-17,102916,2021-05-22,2021-05-24
18-49,2147161,2021-05-22,2021-05-24
50-64,1375393,2021-05-22,2021-05-24
65+,1468451,2021-05-22,2021-05-24
Unknown/missing,59059,2021-05-22,2021-05-24
16-17,101347,2021-05-21,2021-05-23
18-49,2133679,2021-05-21,2021-05-23
50-64,1370872,2021-05-21,2021-05-23
65+,1467487,2021-05-21,2021-05-23
Unknown/missing,55094,2021-05-21,2021-05-23
16-17,98866,2021-05-20,2021-05-22
18-49,2113642,2021-05-20,2021-05-22
50-64,1363561,2021-05-20,2021-05-22
65+,1465041,2021-05-20,2021-05-22
Unknown/missing,49885,2021-05-20,2021-05-22
16-17,94896,2021-05-19,2021-05-21
18-49,2082814,2021-05-19,2021-05-21
50-64,1352348,2021-05-19,2021-05-21
65+,1461831,2021-05-19,2021-05-21
Unknown/missing,38859,2021-05-19,2021-05-21
16-17,92061,2021-05-18,2021-05-20
18-49,2059993,2021-05-18,2021-05-20
50-64,1343924,2021-05-18,2021-05-20
65+,1459190,2021-05-18,2021-05-20
Unknown/missing,29388,2021-05-18,2021-05-20
16-17,88810,2021-05-17,2021-05-19
18-49,2023602,2021-05-17,2021-05-19
50-64,1328255,2021-05-17,2021-05-19
65+,1453100,2021-05-17,2021-05-19
Unknown/missing,21182,2021-05-17,2021-05-19
16-17,87243,2021-05-16,2021-05-18
18-49,2007524,2021-05-16,2021-05-18
50-64,1321741,2021-05-16,2021-05-18
65+,1451047,2021-05-16,2021-05-18
Unknown/missing,18117,2021-05-16,2021-05-18
16-17,86366,2021-05-15,2021-05-17
18-49,1999161,2021-05-15,2021-05-17
50-64,1319667,2021-05-15,2021-05-17
65+,1450694,2021-05-15,2021-05-17
Unknown/missing,14950,2021-05-15,2021-05-17
16-17,84723,2021-05-14,2021-05-16
18-49,1985392,2021-05-14,2021-05-16
50-64,1315164,2021-05-14,2021-05-16
65+,1449357,2021-05-14,2021-05-16
Unknown/missing,10499,2021-05-14,2021-05-16
16-17,82133,2021-05-13,2021-05-15
18-49,1961256,2021-05-13,2021-05-15
50-64,1306063,2021-05-13,2021-05-15
65+,1446975,2021-05-13,2021-05-15
Unknown/missing,3224,2021-05-13,2021-05-15
16-17,79746,2021-05-12,2021-05-14
18-49,1935464,2021-05-12,2021-05-14
50-64,1295117,2021-05-12,2021-05-14
65+,1443767,2021-05-12,2021-05-14
Unknown/missing,333,2021-05-12,2021-05-14
16-17,77789,2021-05-11,2021-05-13
18-49,1912690,2021-05-11,2021-05-13
50-64,1284642,2021-05-11,2021-05-13
65+,1441060,2021-05-11,2021-05-13
Unknown/missing,274,2021-05-11,2021-05-13
16-17,75700,2021-05-10,2021-05-12
18-49,1888827,2021-05-10,2021-05-12
50-64,1273006,2021-05-10,2021-05-12
65+,1439164,2021-05-10,2021-05-12
Unknown/missing,268,2021-05-10,2021-05-12
16-17,74460,2021-05-09,2021-05-11
18-49,1871148,2021-05-09,2021-05-11
50-64,1263101,2021-05-09,2021-05-11
65+,1436812,2021-05-09,2021-05-11
Unknown/missing,261,2021-05-09,2021-05-11
16-17,73009,2021-05-08,2021-05-10
18-49,1857004,2021-05-08,2021-05-10
50-64,1258629,2021-05-08,2021-05-10
65+,1436306,2021-05-08,2021-05-10
Unknown/missing,247,2021-05-08,2021-05-10
16-17,71332,2021-05-07,2021-05-09
18-49,1837671,2021-05-07,2021-05-09
50-64,1250333,2021-05-07,2021-05-09
65+,1435119,2021-05-07,2021-05-09
Unknown/missing,238,2021-05-07,2021-05-09
16-17,68513,2021-05-06,2021-05-08
18-49,1811103,2021-05-06,2021-05-08
50-64,1237630,2021-05-06,2021-05-08
65+,1434285,2021-05-06,2021-05-08
Unknown/missing,228,2021-05-06,2021-05-08
16-17,66008,2021-05-05,2021-05-07
18-49,1782848,2021-05-05,2021-05-07
50-64,1223364,2021-05-05,2021-05-07
65+,1431641,2021-05-05,2021-05-07
Unknown/missing,217,2021-05-05,2021-05-07
16-17,63305,2021-05-04,2021-05-06
18-49,1755727,2021-05-04,2021-05-06
50-64,1209960,2021-05-04,2021-05-06
65+,1428521,2021-05-04,2021-05-06
Unknown/missing,212,2021-05-04,2021-05-06
16-17,61363,2021-05-03,2021-05-05
18-49,1732825,2021-05-03,2021-05-05
50-64,1196284,2021-05-03,2021-05-05
65+,1425480,2021-05-03,2021-05-05
Unknown/missing,211,2021-05-03,2021-05-05
16-17,60123,2021-05-02,2021-05-04
18-49,1719758,2021-05-02,2021-05-04
50-64,1187592,2021-05-02,2021-05-04
65+,1423388,2021-05-02,2021-05-04
Unknown/missing,205,2021-05-02,2021-05-04
16-17,59347,2021-05-01,2021-05-03
18-49,1711617,2021-05-01,2021-05-03
