zip,people_complete,filed_date,report_date
56511,406,7/15/2023,2023-07-20
55129,10236,7/15/2023,2023-07-20
56296,493,7/15/2023,2023-07-20
55368,349,7/15/2023,2023-07-20
56574,66,7/15/2023,2023-07-20
55387,3251,7/15/2023,2023-07-20
55554,5,7/15/2023,2023-07-20
56279,183,7/15/2023,2023-07-20
55607,43,7/15/2023,2023-07-20
56627,71,7/15/2023,2023-07-20
56716,1345,7/15/2023,2023-07-20
55736,320,7/15/2023,2023-07-20
56557,436,7/15/2023,2023-07-20
56384,46,7/15/2023,2023-07-20
56091,62,7/15/2023,2023-07-20
56341,13,7/15/2023,2023-07-20
56592,60,7/15/2023,2023-07-20
55361,8,7/15/2023,2023-07-20
56372,5,7/15/2023,2023-07-20
55352,1798,7/15/2023,2023-07-20
55405,5818,7/15/2023,2023-07-20
55308,1377,7/15/2023,2023-07-20
56425,1980,7/15/2023,2023-07-20
56328,14,7/15/2023,2023-07-20
56183,270,7/15/2023,2023-07-20
56750,362,7/15/2023,2023-07-20
56443,315,7/15/2023,2023-07-20
56082,3528,7/15/2023,2023-07-20
56651,87,7/15/2023,2023-07-20
55783,639,7/15/2023,2023-07-20
56170,89,7/15/2023,2023-07-20
55150,78,7/15/2023,2023-07-20
55019,660,7/15/2023,2023-07-20
56734,84,7/15/2023,2023-07-20
56039,123,7/15/2023,2023-07-20
56644,79,7/15/2023,2023-07-20
55169,5,7/15/2023,2023-07-20
56097,642,7/15/2023,2023-07-20
56149,151,7/15/2023,2023-07-20
56153,36,7/15/2023,2023-07-20
55955,755,7/15/2023,2023-07-20
56207,52,7/15/2023,2023-07-20
55068,8985,7/15/2023,2023-07-20
56048,727,7/15/2023,2023-07-20
55765,155,7/15/2023,2023-07-20
56533,45,7/15/2023,2023-07-20
56536,91,7/15/2023,2023-07-20
55969,282,7/15/2023,2023-07-20
55479,7,7/15/2023,2023-07-20
56587,415,7/15/2023,2023-07-20
56459,10,7/15/2023,2023-07-20
55806,2234,7/15/2023,2023-07-20
56354,348,7/15/2023,2023-07-20
55374,3819,7/15/2023,2023-07-20
55412,5649,7/15/2023,2023-07-20
55333,154,7/15/2023,2023-07-20
56313,7,7/15/2023,2023-07-20
55723,597,7/15/2023,2023-07-20
56731,17,7/15/2023,2023-07-20
55711,167,7/15/2023,2023-07-20
55310,316,7/15/2023,2023-07-20
56330,197,7/15/2023,2023-07-20
56201,5222,7/15/2023,2023-07-20
55953,159,7/15/2023,2023-07-20
56630,442,7/15/2023,2023-07-20
55807,2757,7/15/2023,2023-07-20
55478,5,7/15/2023,2023-07-20
56458,89,7/15/2023,2023-07-20
56586,417,7/15/2023,2023-07-20
55375,916,7/15/2023,2023-07-20
56355,111,7/15/2023,2023-07-20
56085,951,7/15/2023,2023-07-20
55117,12282,7/15/2023,2023-07-20
56137,167,7/15/2023,2023-07-20
56132,100,7/15/2023,2023-07-20
55112,14926,7/15/2023,2023-07-20
56399,5,7/15/2023,2023-07-20
55393,5,7/15/2023,2023-07-20
56560,10732,7/15/2023,2023-07-20
56282,244,7/15/2023,2023-07-20
55366,34,7/15/2023,2023-07-20
55418,12502,7/15/2023,2023-07-20
56438,468,7/15/2023,2023-07-20
56335,31,7/15/2023,2023-07-20
55315,1584,7/15/2023,2023-07-20
56472,1755,7/15/2023,2023-07-20
56353,1323,7/15/2023,2023-07-20
55373,1137,7/15/2023,2023-07-20
56580,224,7/15/2023,2023-07-20
55742,48,7/15/2023,2023-07-20
55191,5,7/15/2023,2023-07-20
56762,398,7/15/2023,2023-07-20
55161,5,7/15/2023,2023-07-20
56141,49,7/15/2023,2023-07-20
56252,245,7/15/2023,2023-07-20
56481,274,7/15/2023,2023-07-20
56729,24,7/15/2023,2023-07-20
56024,636,7/15/2023,2023-07-20
55709,863,7/15/2023,2023-07-20
56670,635,7/15/2023,2023-07-20
55083,5,7/15/2023,2023-07-20
56090,90,7/15/2023,2023-07-20
55105,13404,7/15/2023,2023-07-20
56628,446,7/15/2023,2023-07-20
56125,19,7/15/2023,2023-07-20
56686,130,7/15/2023,2023-07-20
55075,5326,7/15/2023,2023-07-20
56758,64,7/15/2023,2023-07-20
56055,857,7/15/2023,2023-07-20
56214,120,7/15/2023,2023-07-20
56519,42,7/15/2023,2023-07-20
55946,661,7/15/2023,2023-07-20
55974,521,7/15/2023,2023-07-20
56226,55,7/15/2023,2023-07-20
55056,2510,7/15/2023,2023-07-20
55188,5,7/15/2023,2023-07-20
55302,1541,7/15/2023,2023-07-20
55307,426,7/15/2023,2023-07-20
56327,172,7/15/2023,2023-07-20
56013,923,7/15/2023,2023-07-20
55033,7511,7/15/2023,2023-07-20
55992,1248,7/15/2023,2023-07-20
55433,8058,7/15/2023,2023-07-20
55926,163,7/15/2023,2023-07-20
55487,5,7/15/2023,2023-07-20
55559,5,7/15/2023,2023-07-20
56579,182,7/15/2023,2023-07-20
56274,32,7/15/2023,2023-07-20
56120,140,7/15/2023,2023-07-20
55057,9035,7/15/2023,2023-07-20
56098,316,7/15/2023,2023-07-20
56146,17,7/15/2023,2023-07-20
55166,5,7/15/2023,2023-07-20
55123,10581,7/15/2023,2023-07-20
55602,82,7/15/2023,2023-07-20
56165,42,7/15/2023,2023-07-20
55145,5,7/15/2023,2023-07-20
56668,70,7/15/2023,2023-07-20
56270,205,7/15/2023,2023-07-20
55483,5,7/15/2023,2023-07-20
55922,117,7/15/2023,2023-07-20
55927,785,7/15/2023,2023-07-20
56578,225,7/15/2023,2023-07-20
56285,139,7/15/2023,2023-07-20
56588,135,7/15/2023,2023-07-20
56456,5,7/15/2023,2023-07-20
55037,707,7/15/2023,2023-07-20
56017,404,7/15/2023,2023-07-20
55342,296,7/15/2023,2023-07-20
55591,5,7/15/2023,2023-07-20
56362,1247,7/15/2023,2023-07-20
56367,1146,7/15/2023,2023-07-20
55347,11669,7/15/2023,2023-07-20
56072,434,7/15/2023,2023-07-20
55052,352,7/15/2023,2023-07-20
56263,64,7/15/2023,2023-07-20
55931,78,7/15/2023,2023-07-20
56542,391,7/15/2023,2023-07-20
55071,1170,7/15/2023,2023-07-20
56051,137,7/15/2023,2023-07-20
55793,160,7/15/2023,2023-07-20
56160,31,7/15/2023,2023-07-20
55392,5,7/15/2023,2023-07-20
56561,37,7/15/2023,2023-07-20
55615,95,7/15/2023,2023-07-20
56138,99,7/15/2023,2023-07-20
55118,10852,7/15/2023,2023-07-20
55041,2222,7/15/2023,2023-07-20
56209,441,7/15/2023,2023-07-20
55124,16800,7/15/2023,2023-07-20
55746,3408,7/15/2023,2023-07-20
56763,477,7/15/2023,2023-07-20
56437,132,7/15/2023,2023-07-20
55417,11872,7/15/2023,2023-07-20
56331,251,7/15/2023,2023-07-20
55311,12534,7/15/2023,2023-07-20
56303,6281,7/15/2023,2023-07-20
55323,14,7/15/2023,2023-07-20
56319,230,7/15/2023,2023-07-20
55434,7638,7/15/2023,2023-07-20
55339,125,7/15/2023,2023-07-20
55397,463,7/15/2023,2023-07-20
55950,35,7/15/2023,2023-07-20
55747,5,7/15/2023,2023-07-20
55113,16444,7/15/2023,2023-07-20
56178,350,7/15/2023,2023-07-20
55569,5,7/15/2023,2023-07-20
56244,198,7/15/2023,2023-07-20
56549,1097,7/15/2023,2023-07-20
55396,325,7/15/2023,2023-07-20
56565,21,7/15/2023,2023-07-20
55919,278,7/15/2023,2023-07-20
56546,57,7/15/2023,2023-07-20
55589,5,7/15/2023,2023-07-20
56477,326,7/15/2023,2023-07-20
55370,119,7/15/2023,2023-07-20
55802,1279,7/15/2023,2023-07-20
56583,19,7/15/2023,2023-07-20
56350,84,7/15/2023,2023-07-20
56573,1668,7/15/2023,2023-07-20
55380,5,7/15/2023,2023-07-20
55488,5,7/15/2023,2023-07-20
55929,263,7/15/2023,2023-07-20
55385,167,7/15/2023,2023-07-20
56576,243,7/15/2023,2023-07-20
56741,5,7/15/2023,2023-07-20
55910,314,7/15/2023,2023-07-20
55923,1241,7/15/2023,2023-07-20
56271,236,7/15/2023,2023-07-20
56093,2311,7/15/2023,2023-07-20
55751,252,7/15/2023,2023-07-20
56626,60,7/15/2023,2023-07-20
55606,150,7/15/2023,2023-07-20
56119,151,7/15/2023,2023-07-20
56181,157,7/15/2023,2023-07-20
55772,64,7/15/2023,2023-07-20
56073,3871,7/15/2023,2023-07-20
55053,232,7/15/2023,2023-07-20
56715,44,7/15/2023,2023-07-20
55735,296,7/15/2023,2023-07-20
55038,6585,7/15/2023,2023-07-20
55401,4444,7/15/2023,2023-07-20
56329,990,7/15/2023,2023-07-20
55309,3125,7/15/2023,2023-07-20
55404,6944,7/15/2023,2023-07-20
55988,5,7/15/2023,2023-07-20
56304,3262,7/15/2023,2023-07-20
55429,6443,7/15/2023,2023-07-20
55324,270,7/15/2023,2023-07-20
56646,42,7/15/2023,2023-07-20
56180,234,7/15/2023,2023-07-20
55603,133,7/15/2023,2023-07-20
56623,470,7/15/2023,2023-07-20
56531,281,7/15/2023,2023-07-20
55942,5,7/15/2023,2023-07-20
56210,8,7/15/2023,2023-07-20
56554,604,7/15/2023,2023-07-20
55574,5,7/15/2023,2023-07-20
56387,1487,7/15/2023,2023-07-20
56647,106,7/15/2023,2023-07-20
55749,79,7/15/2023,2023-07-20
55044,16020,7/15/2023,2023-07-20
56733,103,7/15/2023,2023-07-20
55713,175,7/15/2023,2023-07-20
56388,5,7/15/2023,2023-07-20
55904,8229,7/15/2023,2023-07-20
56256,575,7/15/2023,2023-07-20
56186,47,7/15/2023,2023-07-20
56058,1281,7/15/2023,2023-07-20
55078,5,7/15/2023,2023-07-20
56755,19,7/15/2023,2023-07-20
55775,279,7/15/2023,2023-07-20
56293,207,7/15/2023,2023-07-20
55460,5,7/15/2023,2023-07-20
56440,231,7/15/2023,2023-07-20
55377,6,7/15/2023,2023-07-20
56357,138,7/15/2023,2023-07-20
55805,2435,7/15/2023,2023-07-20
56584,276,7/15/2023,2023-07-20
56289,162,7/15/2023,2023-07-20
55398,2418,7/15/2023,2023-07-20
56266,263,7/15/2023,2023-07-20
55934,852,7/15/2023,2023-07-20
55443,10200,7/15/2023,2023-07-20
56381,573,7/15/2023,2023-07-20
55572,5,7/15/2023,2023-07-20
56552,80,7/15/2023,2023-07-20
55917,695,7/15/2023,2023-07-20
56245,51,7/15/2023,2023-07-20
56548,129,7/15/2023,2023-07-20
55170,5,7/15/2023,2023-07-20
56150,416,7/15/2023,2023-07-20
56453,108,7/15/2023,2023-07-20
56280,85,7/15/2023,2023-07-20
55473,5,7/15/2023,2023-07-20
56136,253,7/15/2023,2023-07-20
55116,11618,7/15/2023,2023-07-20
56661,147,7/15/2023,2023-07-20
55092,2250,7/15/2023,2023-07-20
56042,112,7/15/2023,2023-07-20
55803,6212,7/15/2023,2023-07-20
55371,2464,7/15/2023,2023-07-20
55025,5972,7/15/2023,2023-07-20
55338,148,7/15/2023,2023-07-20
56318,197,7/15/2023,2023-07-20
55435,5758,7/15/2023,2023-07-20
55314,236,7/15/2023,2023-07-20
55419,13404,7/15/2023,2023-07-20
56334,1466,7/15/2023,2023-07-20
55006,514,7/15/2023,2023-07-20
56026,372,7/15/2023,2023-07-20
56088,298,7/15/2023,2023-07-20
56156,1194,7/15/2023,2023-07-20
56317,10,7/15/2023,2023-07-20
55337,12094,7/15/2023,2023-07-20
55063,1716,7/15/2023,2023-07-20
56043,109,7/15/2023,2023-07-20
56501,3861,7/15/2023,2023-07-20
55973,45,7/15/2023,2023-07-20
56221,155,7/15/2023,2023-07-20
56529,1024,7/15/2023,2023-07-20
55976,2058,7/15/2023,2023-07-20
56224,30,7/15/2023,2023-07-20
55130,3167,7/15/2023,2023-07-20
56110,288,7/15/2023,2023-07-20
55085,87,7/15/2023,2023-07-20
56676,280,7/15/2023,2023-07-20
55177,5,7/15/2023,2023-07-20
56089,39,7/15/2023,2023-07-20
56157,91,7/15/2023,2023-07-20
56011,1479,7/15/2023,2023-07-20
55031,344,7/15/2023,2023-07-20
56023,85,7/15/2023,2023-07-20
55003,747,7/15/2023,2023-07-20
56174,58,7/15/2023,2023-07-20
56679,21,7/15/2023,2023-07-20
55787,122,7/15/2023,2023-07-20
55065,208,7/15/2023,2023-07-20
55768,593,7/15/2023,2023-07-20
56748,67,7/15/2023,2023-07-20
56045,99,7/15/2023,2023-07-20
56379,3497,7/15/2023,2023-07-20
55454,1208,7/15/2023,2023-07-20
56474,784,7/15/2023,2023-07-20
55359,1595,7/15/2023,2023-07-20
56294,12,7/15/2023,2023-07-20
56447,271,7/15/2023,2023-07-20
55467,5,7/15/2023,2023-07-20
56649,1858,7/15/2023,2023-07-20
55164,5,7/15/2023,2023-07-20
56144,155,7/15/2023,2023-07-20
56373,387,7/15/2023,2023-07-20
55353,515,7/15/2023,2023-07-20
55356,1808,7/15/2023,2023-07-20
56376,43,7/15/2023,2023-07-20
55585,5,7/15/2023,2023-07-20
55575,5,7/15/2023,2023-07-20
56258,2336,7/15/2023,2023-07-20
56386,123,7/15/2023,2023-07-20
55920,2801,7/15/2023,2023-07-20
56590,44,7/15/2023,2023-07-20
56343,184,7/15/2023,2023-07-20
55363,637,7/15/2023,2023-07-20
55811,9137,7/15/2023,2023-07-20
55122,10767,7/15/2023,2023-07-20
56171,286,7/15/2023,2023-07-20
55782,103,7/15/2023,2023-07-20
55340,3000,7/15/2023,2023-07-20
56360,785,7/15/2023,2023-07-20
55593,5,7/15/2023,2023-07-20
56292,50,7/15/2023,2023-07-20
56441,654,7/15/2023,2023-07-20
55325,779,7/15/2023,2023-07-20
55428,7989,7/15/2023,2023-07-20
56016,141,7/15/2023,2023-07-20
55036,8,7/15/2023,2023-07-20
55716,42,7/15/2023,2023-07-20
56736,161,7/15/2023,2023-07-20
56162,49,7/15/2023,2023-07-20
55427,8570,7/15/2023,2023-07-20
56361,387,7/15/2023,2023-07-20
55341,612,7/15/2023,2023-07-20
55943,770,7/15/2023,2023-07-20
56211,88,7/15/2023,2023-07-20
55959,544,7/15/2023,2023-07-20
56239,81,7/15/2023,2023-07-20
56534,285,7/15/2023,2023-07-20
56232,510,7/15/2023,2023-07-20
55960,1289,7/15/2023,2023-07-20
55795,308,7/15/2023,2023-07-20
55146,5,7/15/2023,2023-07-20
56166,29,7/15/2023,2023-07-20
55790,582,7/15/2023,2023-07-20
56701,2198,7/15/2023,2023-07-20
55721,810,7/15/2023,2023-07-20
55321,628,7/15/2023,2023-07-20
56301,6726,7/15/2023,2023-07-20
56169,71,7/15/2023,2023-07-20
56030,5,7/15/2023,2023-07-20
55010,10,7/15/2023,2023-07-20
55344,4501,7/15/2023,2023-07-20
