race,date,cases,pop
Other,2020-04-19,50,259618
Native,2020-04-20,28,57046
Asian,2020-04-20,122,297460
Black,2020-04-20,363,392850
Hispanic,2020-04-20,192,345640
White,2020-04-20,1655,4353880
Other,2020-04-20,53,259618
Native,2020-04-21,30,57046
Asian,2020-04-21,127,297460
Black,2020-04-21,385,392850
Hispanic,2020-04-21,207,345640
White,2020-04-21,1702,4353880
Other,2020-04-21,57,259618
Native,2020-04-22,34,57046
Asian,2020-04-22,136,297460
Black,2020-04-22,412,392850
Hispanic,2020-04-22,231,345640
White,2020-04-22,1781,4353880
Other,2020-04-22,68,259618
Native,2020-04-23,36,57046
Asian,2020-04-23,151,297460
Black,2020-04-23,443,392850
Hispanic,2020-04-23,290,345640
White,2020-04-23,1879,4353880
Other,2020-04-23,79,259618
Native,2020-04-24,42,57046
Asian,2020-04-24,166,297460
Black,2020-04-24,498,392850
Hispanic,2020-04-24,353,345640
White,2020-04-24,1969,4353880
Other,2020-04-24,87,259618
Native,2020-04-25,44,57046
Asian,2020-04-25,172,297460
Black,2020-04-25,546,392850
Hispanic,2020-04-25,435,345640
White,2020-04-25,2067,4353880
Other,2020-04-25,104,259618
Native,2020-04-26,47,57046
Asian,2020-04-26,179,297460
Black,2020-04-26,574,392850
Hispanic,2020-04-26,467,345640
White,2020-04-26,2139,4353880
Other,2020-04-26,109,259618
Native,2020-04-27,47,57046
Asian,2020-04-27,188,297460
Black,2020-04-27,633,392850
Hispanic,2020-04-27,514,345640
White,2020-04-27,2219,4353880
Other,2020-04-27,122,259618
Native,2020-04-28,52,57046
Asian,2020-04-28,205,297460
Black,2020-04-28,733,392850
Hispanic,2020-04-28,601,345640
White,2020-04-28,2342,4353880
Other,2020-04-28,138,259618
Native,2020-04-29,56,57046
Asian,2020-04-29,228,297460
Black,2020-04-29,850,392850
Hispanic,2020-04-29,736,345640
White,2020-04-29,2455,4353880
Other,2020-04-29,172,259618
Native,2020-04-30,63,57046
Asian,2020-04-30,257,297460
Black,2020-04-30,972,392850
Hispanic,2020-04-30,846,345640
White,2020-04-30,2559,4353880
Other,2020-04-30,202,259618
Native,2020-05-01,63,57046
Asian,2020-05-01,287,297460
Black,2020-05-01,1119,392850
Hispanic,2020-05-01,978,345640
White,2020-05-01,2710,4353880
Other,2020-05-01,241,259618
