race,date,cases,pop
Other,2020-12-19,11260,259618
White,2020-12-19,257857,4353880
Asian,2020-12-20,16662,297460
Black,2020-12-20,32459,392850
Hispanic,2020-12-20,35924,345640
Native,2020-12-20,3710,57046
Other,2020-12-20,11354,259618
White,2020-12-20,259623,4353880
Asian,2020-12-21,16775,297460
Black,2020-12-21,32637,392850
Hispanic,2020-12-21,36117,345640
Native,2020-12-21,3739,57046
Other,2020-12-21,11434,259618
White,2020-12-21,260910,4353880
Asian,2020-12-22,16894,297460
Black,2020-12-22,32785,392850
Hispanic,2020-12-22,36294,345640
Native,2020-12-22,3766,57046
Other,2020-12-22,11490,259618
White,2020-12-22,262147,4353880
Asian,2020-12-23,16962,297460
Black,2020-12-23,32900,392850
Hispanic,2020-12-23,36422,345640
Native,2020-12-23,3789,57046
Other,2020-12-23,11529,259618
White,2020-12-23,263173,4353880
Asian,2020-12-24,17050,297460
Black,2020-12-24,33009,392850
Hispanic,2020-12-24,36562,345640
Native,2020-12-24,3816,57046
Other,2020-12-24,11633,259618
White,2020-12-24,264437,4353880
Asian,2020-12-26,17124,297460
Black,2020-12-26,33157,392850
Hispanic,2020-12-26,36736,345640
Native,2020-12-26,3839,57046
Other,2020-12-26,11743,259618
White,2020-12-26,265890,4353880
Asian,2020-12-27,17265,297460
Black,2020-12-27,33358,392850
Hispanic,2020-12-27,36923,345640
Native,2020-12-27,3864,57046
Other,2020-12-27,11840,259618
White,2020-12-27,267534,4353880
Asian,2020-12-28,17335,297460
Black,2020-12-28,33440,392850
Hispanic,2020-12-28,37032,345640
Native,2020-12-28,3871,57046
Other,2020-12-28,11877,259618
White,2020-12-28,268326,4353880
Asian,2020-12-29,17372,297460
Black,2020-12-29,33529,392850
Hispanic,2020-12-29,37123,345640
Native,2020-12-29,3875,57046
Other,2020-12-29,11927,259618
White,2020-12-29,269020,4353880
Asian,2020-12-30,17488,297460
Black,2020-12-30,33649,392850
Hispanic,2020-12-30,37282,345640
Native,2020-12-30,3904,57046
Other,2020-12-30,11991,259618
White,2020-12-30,270421,4353880
Asian,2020-12-31,17574,297460
Black,2020-12-31,33750,392850
Hispanic,2020-12-31,37456,345640
Native,2020-12-31,3935,57046
Other,2020-12-31,12092,259618
White,2020-12-31,271873,4353880
Asian,2021-01-02,17715,297460
Black,2021-01-02,33915,392850
Hispanic,2021-01-02,37658,345640
Native,2021-01-02,3951,57046
Other,2021-01-02,12197,259618
White,2021-01-02,273591,4353880
Asian,2021-01-03,17871,297460
Black,2021-01-03,34104,392850
Hispanic,2021-01-03,37881,345640
Native,2021-01-03,3981,57046
Other,2021-01-03,12279,259618
White,2021-01-03,275526,4353880
Asian,2021-01-04,18045,297460
Black,2021-01-04,34273,392850
Hispanic,2021-01-04,38088,345640
Native,2021-01-04,4002,57046
Other,2021-01-04,12374,259618
White,2021-01-04,277812,4353880
Asian,2021-01-05,18141,297460
Black,2021-01-05,34402,392850
Hispanic,2021-01-05,38223,345640
Native,2021-01-05,4025,57046
Other,2021-01-05,12442,259618
White,2021-01-05,278955,4353880
Asian,2021-01-06,18270,297460
Black,2021-01-06,34514,392850
Hispanic,2021-01-06,38475,345640
Native,2021-01-06,4054,57046
Other,2021-01-06,12522,259618
White,2021-01-06,280569,4353880
Asian,2021-01-07,18347,297460
Black,2021-01-07,34658,392850
Hispanic,2021-01-07,38625,345640
Native,2021-01-07,4095,57046
Other,2021-01-07,12616,259618
White,2021-01-07,282564,4353880
Asian,2021-01-08,18479,297460
Black,2021-01-08,34856,392850
Hispanic,2021-01-08,38845,345640
Native,2021-01-08,4111,57046
Other,2021-01-08,12725,259618
White,2021-01-08,284183,4353880
Asian,2021-01-09,18603,297460
Black,2021-01-09,35046,392850
Hispanic,2021-01-09,39076,345640
Native,2021-01-09,4131,57046
Other,2021-01-09,12796,259618
White,2021-01-09,285898,4353880
Asian,2021-01-10,18759,297460
Black,2021-01-10,35206,392850
Hispanic,2021-01-10,39266,345640
Native,2021-01-10,4155,57046
Other,2021-01-10,12872,259618
White,2021-01-10,287390,4353880
Asian,2021-01-11,18824,297460
Black,2021-01-11,35289,392850
Hispanic,2021-01-11,39357,345640
Native,2021-01-11,4163,57046
Other,2021-01-11,12911,259618
White,2021-01-11,288077,4353880
Asian,2021-01-12,18913,297460
Black,2021-01-12,35398,392850
Hispanic,2021-01-12,39497,345640
Native,2021-01-12,4179,57046
Other,2021-01-12,12984,259618
White,2021-01-12,288975,4353880
Asian,2021-01-13,18998,297460
Black,2021-01-13,35516,392850
Hispanic,2021-01-13,39624,345640
Native,2021-01-13,4196,57046
Other,2021-01-13,13039,259618
White,2021-01-13,290045,4353880
Asian,2021-01-14,19062,297460
Black,2021-01-14,35639,392850
Hispanic,2021-01-14,39765,345640
Native,2021-01-14,4211,57046
Other,2021-01-14,13109,259618
White,2021-01-14,291168,4353880
Asian,2021-01-15,19166,297460
Black,2021-01-15,35786,392850
Hispanic,2021-01-15,39914,345640
Native,2021-01-15,4226,57046
Other,2021-01-15,13193,259618
White,2021-01-15,292278,4353880
Asian,2021-01-16,19256,297460
Black,2021-01-16,35901,392850
Hispanic,2021-01-16,40042,345640
Native,2021-01-16,4242,57046
Other,2021-01-16,13252,259618
White,2021-01-16,293360,4353880
Asian,2021-01-17,19318,297460
Black,2021-01-17,36016,392850
Hispanic,2021-01-17,40173,345640
Native,2021-01-17,4263,57046
Other,2021-01-17,13289,259618
White,2021-01-17,294318,4353880
Asian,2021-01-18,19382,297460
Black,2021-01-18,36100,392850
Hispanic,2021-01-18,40272,345640
Native,2021-01-18,4269,57046
Other,2021-01-18,13348,259618
White,2021-01-18,294969,4353880
Asian,2021-01-19,19445,297460
Black,2021-01-19,36178,392850
Hispanic,2021-01-19,40377,345640
Native,2021-01-19,4273,57046
Other,2021-01-19,13409,259618
White,2021-01-19,295594,4353880
Asian,2021-01-20,19505,297460
Black,2021-01-20,36273,392850
Hispanic,2021-01-20,40488,345640
Native,2021-01-20,4289,57046
Other,2021-01-20,13451,259618
White,2021-01-20,296543,4353880
Asian,2021-01-21,19536,297460
Black,2021-01-21,36360,392850
Hispanic,2021-01-21,40583,345640
Native,2021-01-21,4321,57046
Other,2021-01-21,13554,259618
White,2021-01-21,297465,4353880
Asian,2021-01-22,19599,297460
Black,2021-01-22,36477,392850
Hispanic,2021-01-22,40712,345640
Native,2021-01-22,4338,57046
Other,2021-01-22,13640,259618
White,2021-01-22,298578,4353880
Asian,2021-01-23,19673,297460
Black,2021-01-23,36603,392850
Hispanic,2021-01-23,40867,345640
Native,2021-01-23,4351,57046
Other,2021-01-23,13726,259618
White,2021-01-23,299674,4353880
Asian,2021-01-24,19716,297460
Black,2021-01-24,36697,392850
Hispanic,2021-01-24,40956,345640
Native,2021-01-24,4359,57046
Other,2021-01-24,13767,259618
White,2021-01-24,300591,4353880
Asian,2021-01-25,19764,297460
Black,2021-01-25,36761,392850
Hispanic,2021-01-25,41013,345640
Native,2021-01-25,4362,57046
Other,2021-01-25,13814,259618
White,2021-01-25,301183,4353880
Asian,2021-01-26,19803,297460
Black,2021-01-26,36800,392850
Hispanic,2021-01-26,41090,345640
Native,2021-01-26,4372,57046
Other,2021-01-26,13849,259618
White,2021-01-26,301733,4353880
Asian,2021-01-27,19840,297460
Black,2021-01-27,36841,392850
Hispanic,2021-01-27,41184,345640
Native,2021-01-27,4383,57046
Other,2021-01-27,13881,259618
White,2021-01-27,302393,4353880
Asian,2021-01-28,19883,297460
Black,2021-01-28,36940,392850
Hispanic,2021-01-28,41291,345640
Native,2021-01-28,4394,57046
Other,2021-01-28,13979,259618
White,2021-01-28,303317,4353880
Asian,2021-01-29,19923,297460
Black,2021-01-29,37013,392850
Hispanic,2021-01-29,41404,345640
Native,2021-01-29,4398,57046
Other,2021-01-29,14081,259618
White,2021-01-29,304149,4353880
Asian,2021-01-30,19968,297460
Black,2021-01-30,37076,392850
Hispanic,2021-01-30,41483,345640
Native,2021-01-30,4404,57046
Other,2021-01-30,14140,259618
White,2021-01-30,304943,4353880
Asian,2021-01-31,20016,297460
Black,2021-01-31,37132,392850
Hispanic,2021-01-31,41583,345640
Native,2021-01-31,4415,57046
Other,2021-01-31,14201,259618
White,2021-01-31,305681,4353880
Asian,2021-02-01,20051,297460
Black,2021-02-01,37170,392850
Hispanic,2021-02-01,41664,345640
Native,2021-02-01,4417,57046
Other,2021-02-01,14253,259618
White,2021-02-01,306217,4353880
Asian,2021-02-03,20100,297460
Black,2021-02-03,37257,392850
Hispanic,2021-02-03,41775,345640
Native,2021-02-03,4433,57046
Other,2021-02-03,14312,259618
White,2021-02-03,307201,4353880
Asian,2021-02-04,20150,297460
Black,2021-02-04,37371,392850
Hispanic,2021-02-04,41878,345640
Native,2021-02-04,4437,57046
Other,2021-02-04,14407,259618
White,2021-02-04,308223,4353880
Asian,2021-02-05,20194,297460
Black,2021-02-05,37452,392850
Hispanic,2021-02-05,41965,345640
Native,2021-02-05,4445,57046
Other,2021-02-05,14477,259618
White,2021-02-05,309043,4353880
Asian,2021-02-06,20231,297460
Black,2021-02-06,37489,392850
Hispanic,2021-02-06,42040,345640
Native,2021-02-06,4455,57046
Other,2021-02-06,14544,259618
White,2021-02-06,309814,4353880
Asian,2021-02-07,20265,297460
Black,2021-02-07,37537,392850
Hispanic,2021-02-07,42109,345640
Native,2021-02-07,4461,57046
Other,2021-02-07,14597,259618
White,2021-02-07,310511,4353880
Asian,2021-02-08,20288,297460
Black,2021-02-08,37575,392850
Hispanic,2021-02-08,42158,345640
Native,2021-02-08,4462,57046
Other,2021-02-08,14641,259618
White,2021-02-08,310931,4353880
Asian,2021-02-09,20301,297460
Black,2021-02-09,37621,392850
Hispanic,2021-02-09,42191,345640
Native,2021-02-09,4464,57046
Other,2021-02-09,14678,259618
White,2021-02-09,311375,4353880
Asian,2021-02-10,20323,297460
Black,2021-02-10,37655,392850
Hispanic,2021-02-10,42229,345640
Native,2021-02-10,4467,57046
Other,2021-02-10,14717,259618
White,2021-02-10,311910,4353880
Asian,2021-02-11,20373,297460
Black,2021-02-11,37710,392850
Hispanic,2021-02-11,42283,345640
Native,2021-02-11,4475,57046
Other,2021-02-11,14779,259618
White,2021-02-11,312641,4353880
Asian,2021-02-12,20433,297460
Black,2021-02-12,37781,392850
Hispanic,2021-02-12,42364,345640
Native,2021-02-12,4486,57046
Other,2021-02-12,14857,259618
White,2021-02-12,313401,4353880
Asian,2021-02-13,20475,297460
Black,2021-02-13,37829,392850
Hispanic,2021-02-13,42431,345640
Native,2021-02-13,4503,57046
Other,2021-02-13,14934,259618
White,2021-02-13,314091,4353880
Asian,2021-02-14,20509,297460
Black,2021-02-14,37878,392850
Hispanic,2021-02-14,42481,345640
Native,2021-02-14,4520,57046
Other,2021-02-14,14973,259618
White,2021-02-14,314712,4353880
Asian,2021-02-15,20542,297460
Black,2021-02-15,37905,392850
Hispanic,2021-02-15,42518,345640
Native,2021-02-15,4525,57046
Other,2021-02-15,15009,259618
White,2021-02-15,315165,4353880
Asian,2021-02-16,20563,297460
Black,2021-02-16,37932,392850
Hispanic,2021-02-16,42553,345640
Native,2021-02-16,4524,57046
Other,2021-02-16,15030,259618
White,2021-02-16,315530,4353880
Asian,2021-02-17,20595,297460
Black,2021-02-17,37972,392850
Hispanic,2021-02-17,42609,345640
Native,2021-02-17,4530,57046
Other,2021-02-17,15082,259618
White,2021-02-17,316084,4353880
Asian,2021-02-18,20634,297460
Black,2021-02-18,38037,392850
Hispanic,2021-02-18,42677,345640
Native,2021-02-18,4537,57046
Other,2021-02-18,15136,259618
White,2021-02-18,316808,4353880
Asian,2021-02-19,20683,297460
Black,2021-02-19,38089,392850
Hispanic,2021-02-19,42761,345640
Native,2021-02-19,4540,57046
Other,2021-02-19,15210,259618
White,2021-02-19,317593,4353880
Asian,2021-02-20,20726,297460
Black,2021-02-20,38139,392850
Hispanic,2021-02-20,42833,345640
Native,2021-02-20,4543,57046
Other,2021-02-20,15279,259618
White,2021-02-20,318269,4353880
Asian,2021-02-21,20778,297460
Black,2021-02-21,38168,392850
Hispanic,2021-02-21,42899,345640
Native,2021-02-21,4553,57046
Other,2021-02-21,15328,259618
White,2021-02-21,318946,4353880
Asian,2021-02-22,20810,297460
Black,2021-02-22,38205,392850
Hispanic,2021-02-22,42954,345640
Native,2021-02-22,4555,57046
Other,2021-02-22,15352,259618
White,2021-02-22,319372,4353880
Asian,2021-02-23,20848,297460
Black,2021-02-23,38240,392850
Hispanic,2021-02-23,42989,345640
Native,2021-02-23,4558,57046
Other,2021-02-23,15373,259618
White,2021-02-23,319744,4353880
Asian,2021-02-24,20905,297460
Black,2021-02-24,38279,392850
Hispanic,2021-02-24,43060,345640
Native,2021-02-24,4566,57046
Other,2021-02-24,15415,259618
White,2021-02-24,320324,4353880
Asian,2021-02-25,20958,297460
Black,2021-02-25,38318,392850
Hispanic,2021-02-25,43137,345640
Native,2021-02-25,4569,57046
Other,2021-02-25,15613,259618
White,2021-02-25,320998,4353880
Asian,2021-02-27,20848,297460
Black,2021-02-27,38240,392850
Hispanic,2021-02-27,42989,345640
Native,2021-02-27,4558,57046
Other,2021-02-27,15373,259618
White,2021-02-27,319744,4353880
Asian,2021-02-28,21106,297460
Black,2021-02-28,38492,392850
Hispanic,2021-02-28,43383,345640
Native,2021-02-28,4597,57046
Other,2021-02-28,15485,259618
White,2021-02-28,323312,4353880
Asian,2021-03-01,21133,297460
Black,2021-03-01,38530,392850
Hispanic,2021-03-01,43427,345640
Native,2021-03-01,4601,57046
Other,2021-03-01,15504,259618
White,2021-03-01,323840,4353880
Asian,2021-03-02,21157,297460
Black,2021-03-02,38554,392850
Hispanic,2021-03-02,43459,345640
Native,2021-03-02,4605,57046
Other,2021-03-02,15528,259618
White,2021-03-02,324170,4353880
Asian,2021-03-03,21179,297460
Black,2021-03-03,38593,392850
Hispanic,2021-03-03,43504,345640
Native,2021-03-03,4609,57046
Other,2021-03-03,15601,259618
White,2021-03-03,324799,4353880
Asian,2021-03-04,21216,297460
Black,2021-03-04,38641,392850
Hispanic,2021-03-04,43569,345640
Native,2021-03-04,4616,57046
Other,2021-03-04,15718,259618
White,2021-03-04,325533,4353880
Asian,2021-03-05,21263,297460
Black,2021-03-05,38693,392850
Hispanic,2021-03-05,43624,345640
Native,2021-03-05,4621,57046
Other,2021-03-05,15780,259618
White,2021-03-05,326160,4353880
Asian,2021-03-06,21434,297460
Black,2021-03-06,38990,392850
Hispanic,2021-03-06,43743,345640
Native,2021-03-06,4631,57046
Other,2021-03-06,15419,259618
White,2021-03-06,326926,4353880
Asian,2021-03-07,21470,297460
Black,2021-03-07,39044,392850
Hispanic,2021-03-07,43792,345640
Native,2021-03-07,4634,57046
Other,2021-03-07,15450,259618
White,2021-03-07,327714,4353880
Asian,2021-03-08,21481,297460
Black,2021-03-08,39069,392850
Hispanic,2021-03-08,43820,345640
Native,2021-03-08,4637,57046
Other,2021-03-08,15476,259618
White,2021-03-08,328113,4353880
Asian,2021-03-09,21512,297460
Black,2021-03-09,39150,392850
Hispanic,2021-03-09,43875,345640
Native,2021-03-09,4644,57046
Other,2021-03-09,15659,259618
White,2021-03-09,329069,4353880
Asian,2021-03-10,21552,297460
Black,2021-03-10,39195,392850
Hispanic,2021-03-10,43922,345640
Native,2021-03-10,4656,57046
Other,2021-03-10,15680,259618
White,2021-03-10,329843,4353880
Asian,2021-03-11,21583,297460
Black,2021-03-11,39250,392850
Hispanic,2021-03-11,43983,345640
Native,2021-03-11,4669,57046
Other,2021-03-11,15747,259618
White,2021-03-11,330741,4353880
Asian,2021-03-12,21613,297460
Black,2021-03-12,39285,392850
Hispanic,2021-03-12,44077,345640
Native,2021-03-12,4674,57046
Other,2021-03-12,15835,259618
White,2021-03-12,331642,4353880
Asian,2021-03-13,21643,297460
Black,2021-03-13,39351,392850
Hispanic,2021-03-13,44151,345640
Native,2021-03-13,4687,57046
Other,2021-03-13,15902,259618
White,2021-03-13,332561,4353880
Asian,2021-03-14,21670,297460
Black,2021-03-14,39401,392850
Hispanic,2021-03-14,44211,345640
Native,2021-03-14,4693,57046
Other,2021-03-14,15952,259618
White,2021-03-14,333372,4353880
Asian,2021-03-15,21701,297460
Black,2021-03-15,39449,392850
Hispanic,2021-03-15,44261,345640
Native,2021-03-15,4701,57046
Other,2021-03-15,15999,259618
White,2021-03-15,334045,4353880
Asian,2021-03-16,21721,297460
Black,2021-03-16,39481,392850
Hispanic,2021-03-16,44305,345640
Native,2021-03-16,4703,57046
Other,2021-03-16,16043,259618
White,2021-03-16,334586,4353880
Asian,2021-03-17,21752,297460
Black,2021-03-17,39528,392850
Hispanic,2021-03-17,44367,345640
Native,2021-03-17,4718,57046
Other,2021-03-17,16091,259618
White,2021-03-17,335428,4353880
Asian,2021-03-18,21794,297460
Black,2021-03-18,39594,392850
Hispanic,2021-03-18,44441,345640
Native,2021-03-18,4730,57046
Other,2021-03-18,16158,259618
White,2021-03-18,336681,4353880
Asian,2021-03-19,21830,297460
Black,2021-03-19,39690,392850
Hispanic,2021-03-19,44559,345640
Native,2021-03-19,4740,57046
Other,2021-03-19,16247,259618
White,2021-03-19,337770,4353880
Asian,2021-03-20,21866,297460
Black,2021-03-20,39770,392850
Hispanic,2021-03-20,44643,345640
Native,2021-03-20,4750,57046
Other,2021-03-20,16323,259618
White,2021-03-20,338909,4353880
Asian,2021-03-21,21887,297460
Black,2021-03-21,39838,392850
Hispanic,2021-03-21,44690,345640
Native,2021-03-21,4768,57046
Other,2021-03-21,16373,259618
White,2021-03-21,339701,4353880
Asian,2021-03-22,21929,297460
Black,2021-03-22,39935,392850
Hispanic,2021-03-22,44787,345640
Native,2021-03-22,4774,57046
Other,2021-03-22,16427,259618
White,2021-03-22,340549,4353880
Asian,2021-03-23,21959,297460
Black,2021-03-23,39980,392850
Hispanic,2021-03-23,44827,345640
Native,2021-03-23,4779,57046
Other,2021-03-23,16463,259618
White,2021-03-23,341282,4353880
Asian,2021-03-24,21999,297460
Black,2021-03-24,40265,392850
Hispanic,2021-03-24,44905,345640
Native,2021-03-24,4832,57046
Other,2021-03-24,16555,259618
White,2021-03-24,342723,4353880
Asian,2021-03-25,22065,297460
Black,2021-03-25,40405,392850
Hispanic,2021-03-25,45064,345640
Native,2021-03-25,4847,57046
Other,2021-03-25,16655,259618
White,2021-03-25,344222,4353880
Asian,2021-03-26,22032,297460
Black,2021-03-26,40494,392850
Hispanic,2021-03-26,45156,345640
Native,2021-03-26,4860,57046
Other,2021-03-26,16800,259618
White,2021-03-26,345616,4353880
Asian,2021-03-27,22074,297460
Black,2021-03-27,40589,392850
Hispanic,2021-03-27,45248,345640
Native,2021-03-27,4873,57046
Other,2021-03-27,16874,259618
White,2021-03-27,347021,4353880
Asian,2021-03-28,22107,297460
Black,2021-03-28,40653,392850
Hispanic,2021-03-28,45335,345640
Native,2021-03-28,4879,57046
Other,2021-03-28,16936,259618
White,2021-03-28,348031,4353880
Asian,2021-03-29,22159,297460
Black,2021-03-29,40745,392850
Hispanic,2021-03-29,45422,345640
Native,2021-03-29,4889,57046
Other,2021-03-29,17001,259618
White,2021-03-29,349245,4353880
Asian,2021-03-30,22200,297460
Black,2021-03-30,40815,392850
Hispanic,2021-03-30,45509,345640
Native,2021-03-30,4898,57046
Other,2021-03-30,17059,259618
White,2021-03-30,350275,4353880
Asian,2021-03-31,22244,297460
Black,2021-03-31,40890,392850
Hispanic,2021-03-31,45619,345640
Native,2021-03-31,4915,57046
Other,2021-03-31,17155,259618
White,2021-03-31,351589,4353880
Asian,2021-04-01,22308,297460
Black,2021-04-01,40990,392850
Hispanic,2021-04-01,45745,345640
Native,2021-04-01,4934,57046
Other,2021-04-01,17254,259618
White,2021-04-01,353321,4353880
Asian,2021-04-02,22396,297460
Black,2021-04-02,41117,392850
Hispanic,2021-04-02,45860,345640
Native,2021-04-02,4959,57046
Other,2021-04-02,17383,259618
White,2021-04-02,355310,4353880
Asian,2021-04-03,22450,297460
Black,2021-04-03,41242,392850
Hispanic,2021-04-03,46000,345640
Native,2021-04-03,4980,57046
Other,2021-04-03,17479,259618
White,2021-04-03,356897,4353880
Asian,2021-04-05,22495,297460
Black,2021-04-05,41321,392850
Hispanic,2021-04-05,46078,345640
Native,2021-04-05,4997,57046
Other,2021-04-05,17544,259618
White,2021-04-05,358034,4353880
Asian,2021-04-06,22602,297460
Black,2021-04-06,41522,392850
Hispanic,2021-04-06,46271,345640
Native,2021-04-06,5017,57046
Other,2021-04-06,17676,259618
White,2021-04-06,360300,4353880
Asian,2021-04-07,22688,297460
Black,2021-04-07,41652,392850
Hispanic,2021-04-07,46399,345640
Native,2021-04-07,5033,57046
Other,2021-04-07,17755,259618
White,2021-04-07,361864,4353880
Asian,2021-04-08,22778,297460
Black,2021-04-08,41801,392850
Hispanic,2021-04-08,46558,345640
Native,2021-04-08,5065,57046
Other,2021-04-08,17885,259618
White,2021-04-08,363783,4353880
Asian,2021-04-09,22864,297460
Black,2021-04-09,41977,392850
Hispanic,2021-04-09,46733,345640
Native,2021-04-09,5106,57046
Other,2021-04-09,18041,259618
White,2021-04-09,365730,4353880
Asian,2021-04-10,22973,297460
Black,2021-04-10,42169,392850
Hispanic,2021-04-10,46873,345640
Native,2021-04-10,5126,57046
Other,2021-04-10,18170,259618
White,2021-04-10,367536,4353880
Asian,2021-04-11,23041,297460
Black,2021-04-11,42288,392850
Hispanic,2021-04-11,47000,345640
Native,2021-04-11,5137,57046
Other,2021-04-11,18247,259618
White,2021-04-11,368908,4353880
Asian,2021-04-12,23122,297460
Black,2021-04-12,42441,392850
Hispanic,2021-04-12,47130,345640
Native,2021-04-12,5154,57046
Other,2021-04-12,18344,259618
White,2021-04-12,370314,4353880
Asian,2021-04-13,23166,297460
Black,2021-04-13,42545,392850
Hispanic,2021-04-13,47238,345640
Native,2021-04-13,5166,57046
Other,2021-04-13,18398,259618
White,2021-04-13,371369,4353880
Asian,2021-04-14,23233,297460
Black,2021-04-14,42666,392850
Hispanic,2021-04-14,47371,345640
Native,2021-04-14,5181,57046
Other,2021-04-14,18472,259618
White,2021-04-14,372622,4353880
Asian,2021-04-15,23327,297460
Black,2021-04-15,42837,392850
Hispanic,2021-04-15,47519,345640
Native,2021-04-15,5219,57046
Other,2021-04-15,18623,259618
White,2021-04-15,374730,4353880
Asian,2021-04-16,23412,297460
Black,2021-04-16,43019,392850
Hispanic,2021-04-16,47678,345640
Native,2021-04-16,5245,57046
Other,2021-04-16,18727,259618
White,2021-04-16,376425,4353880
Asian,2021-04-17,23501,297460
Black,2021-04-17,43241,392850
Hispanic,2021-04-17,47866,345640
Native,2021-04-17,5270,57046
Other,2021-04-17,18835,259618
White,2021-04-17,378178,4353880
Asian,2021-04-18,23594,297460
Black,2021-04-18,43409,392850
Hispanic,2021-04-18,47974,345640
Native,2021-04-18,5289,57046
Other,2021-04-18,18900,259618
White,2021-04-18,379600,4353880
Asian,2021-04-19,23652,297460
Black,2021-04-19,43526,392850
Hispanic,2021-04-19,48067,345640
Native,2021-04-19,5296,57046
Other,2021-04-19,18979,259618
White,2021-04-19,380531,4353880
Asian,2021-04-20,23706,297460
Black,2021-04-20,43650,392850
Hispanic,2021-04-20,48186,345640
Native,2021-04-20,5313,57046
Other,2021-04-20,19029,259618
White,2021-04-20,381371,4353880
Asian,2021-04-21,23772,297460
Black,2021-04-21,43783,392850
Hispanic,2021-04-21,48302,345640
Native,2021-04-21,5339,57046
Other,2021-04-21,19107,259618
White,2021-04-21,382580,4353880
Asian,2021-04-22,23838,297460
Black,2021-04-22,43916,392850
Hispanic,2021-04-22,48438,345640
Native,2021-04-22,5364,57046
Other,2021-04-22,19203,259618
White,2021-04-22,384044,4353880
Asian,2021-04-23,23918,297460
Black,2021-04-23,44088,392850
Hispanic,2021-04-23,48610,345640
Native,2021-04-23,5384,57046
Other,2021-04-23,19331,259618
White,2021-04-23,385578,4353880
Asian,2021-04-24,24003,297460
Black,2021-04-24,44252,392850
Hispanic,2021-04-24,48771,345640
Native,2021-04-24,5407,57046
Other,2021-04-24,19416,259618
White,2021-04-24,387112,4353880
Asian,2021-04-25,24063,297460
Black,2021-04-25,44375,392850
Hispanic,2021-04-25,48923,345640
Native,2021-04-25,5421,57046
Other,2021-04-25,19521,259618
White,2021-04-25,388194,4353880
Asian,2021-04-26,24121,297460
Black,2021-04-26,44465,392850
Hispanic,2021-04-26,49012,345640
Native,2021-04-26,5431,57046
Other,2021-04-26,19589,259618
White,2021-04-26,389063,4353880
Asian,2021-04-27,24160,297460
Black,2021-04-27,44539,392850
Hispanic,2021-04-27,49120,345640
Native,2021-04-27,5443,57046
Other,2021-04-27,19654,259618
White,2021-04-27,389823,4353880
Asian,2021-04-28,24214,297460
Black,2021-04-28,44646,392850
Hispanic,2021-04-28,49260,345640
Native,2021-04-28,5466,57046
Other,2021-04-28,19726,259618
White,2021-04-28,390959,4353880
Asian,2021-04-29,24305,297460
Black,2021-04-29,44777,392850
Hispanic,2021-04-29,49412,345640
Native,2021-04-29,5484,57046
Other,2021-04-29,19821,259618
White,2021-04-29,392369,4353880
Asian,2021-04-30,24373,297460
Black,2021-04-30,44918,392850
Hispanic,2021-04-30,49555,345640
Native,2021-04-30,5510,57046
Other,2021-04-30,19924,259618
White,2021-04-30,393725,4353880
Asian,2021-05-01,24458,297460
Black,2021-05-01,45057,392850
Hispanic,2021-05-01,49699,345640
Native,2021-05-01,5533,57046
Other,2021-05-01,20000,259618
White,2021-05-01,394947,4353880
Asian,2021-05-02,24535,297460
Black,2021-05-02,45212,392850
Hispanic,2021-05-02,49843,345640
Native,2021-05-02,5553,57046
Other,2021-05-02,20082,259618
White,2021-05-02,396122,4353880
Asian,2021-05-03,24582,297460
Black,2021-05-03,45302,392850
Hispanic,2021-05-03,49942,345640
Native,2021-05-03,5560,57046
Other,2021-05-03,20123,259618
White,2021-05-03,396927,4353880
Asian,2021-05-04,24635,297460
Black,2021-05-04,45412,392850
Hispanic,2021-05-04,50053,345640
Native,2021-05-04,5584,57046
Other,2021-05-04,20191,259618
White,2021-05-04,397615,4353880
Asian,2021-05-05,24684,297460
Black,2021-05-05,45522,392850
Hispanic,2021-05-05,50174,345640
Native,2021-05-05,5609,57046
Other,2021-05-05,20248,259618
White,2021-05-05,398499,4353880
Asian,2021-05-06,24747,297460
Black,2021-05-06,45657,392850
Hispanic,2021-05-06,50315,345640
Native,2021-05-06,5646,57046
Other,2021-05-06,20308,259618
White,2021-05-06,399726,4353880
Asian,2021-05-07,24796,297460
Black,2021-05-07,45785,392850
Hispanic,2021-05-07,50454,345640
Native,2021-05-07,5656,57046
Other,2021-05-07,20396,259618
White,2021-05-07,400779,4353880
Asian,2021-05-08,24852,297460
Black,2021-05-08,45898,392850
Hispanic,2021-05-08,50574,345640
Native,2021-05-08,5683,57046
Other,2021-05-08,20483,259618
White,2021-05-08,401663,4353880
Asian,2021-05-09,24879,297460
Black,2021-05-09,45990,392850
Hispanic,2021-05-09,50656,345640
Native,2021-05-09,5694,57046
Other,2021-05-09,20524,259618
White,2021-05-09,402231,4353880
Asian,2021-05-10,24950,297460
Black,2021-05-10,46099,392850
Hispanic,2021-05-10,50748,345640
Native,2021-05-10,5703,57046
Other,2021-05-10,20560,259618
White,2021-05-10,403015,4353880
Asian,2021-05-11,24981,297460
Black,2021-05-11,46152,392850
Hispanic,2021-05-11,50800,345640
Native,2021-05-11,5712,57046
Other,2021-05-11,20580,259618
White,2021-05-11,403467,4353880
Asian,2021-05-12,25023,297460
Black,2021-05-12,46216,392850
Hispanic,2021-05-12,50880,345640
Native,2021-05-12,5733,57046
Other,2021-05-12,20618,259618
White,2021-05-12,404164,4353880
Asian,2021-05-13,25055,297460
Black,2021-05-13,46301,392850
Hispanic,2021-05-13,50960,345640
