age_group,cases,deaths,date
40-44 years,7070,11,2020-09-29
45-49 years,6746,20,2020-09-29
50-54 years,6682,46,2020-09-29
55-59 years,5940,67,2020-09-29
60-64 years,4573,108,2020-09-29
65-69 years,3074,134,2020-09-29
70-74 years,2305,200,2020-09-29
75-79 years,1815,211,2020-09-29
80-84 years,1535,328,2020-09-29
85-89 years,1325,347,2020-09-29
90-94 years,953,321,2020-09-29
95-99 years,424,170,2020-09-29
100+ years,75,35,2020-09-29
Unknown/missing,6,0,2020-09-29
0-4 years,1945,1,2020-09-30
5-9 years,1903,0,2020-09-30
10-14 years,2893,0,2020-09-30
15-19 years,9420,0,2020-09-30
20-24 years,13514,1,2020-09-30
25-29 years,9760,3,2020-09-30
30-34 years,8848,7,2020-09-30
35-39 years,7984,10,2020-09-30
40-44 years,7126,11,2020-09-30
45-49 years,6788,20,2020-09-30
50-54 years,6723,46,2020-09-30
55-59 years,5989,67,2020-09-30
60-64 years,4621,109,2020-09-30
65-69 years,3105,138,2020-09-30
70-74 years,2329,200,2020-09-30
75-79 years,1836,214,2020-09-30
80-84 years,1552,330,2020-09-30
85-89 years,1334,349,2020-09-30
90-94 years,957,325,2020-09-30
95-99 years,425,170,2020-09-30
100+ years,76,35,2020-09-30
Unknown/missing,6,0,2020-09-30
0-4 years,1970,1,2020-10-01
5-9 years,1932,0,2020-10-01
10-14 years,2916,0,2020-10-01
15-19 years,9515,0,2020-10-01
20-24 years,13627,1,2020-10-01
25-29 years,9862,3,2020-10-01
30-34 years,8920,7,2020-10-01
35-39 years,8081,10,2020-10-01
40-44 years,7205,11,2020-10-01
45-49 years,6861,20,2020-10-01
50-54 years,6799,46,2020-10-01
55-59 years,6061,68,2020-10-01
60-64 years,4688,109,2020-10-01
65-69 years,3160,139,2020-10-01
70-74 years,2361,201,2020-10-01
75-79 years,1853,215,2020-10-01
80-84 years,1576,332,2020-10-01
85-89 years,1340,350,2020-10-01
90-94 years,964,330,2020-10-01
95-99 years,427,171,2020-10-01
100+ years,76,35,2020-10-01
Unknown/missing,6,0,2020-10-01
0-4 years,1994,1,2020-10-02
5-9 years,1956,0,2020-10-02
10-14 years,2958,0,2020-10-02
15-19 years,9639,0,2020-10-02
20-24 years,13755,1,2020-10-02
25-29 years,9968,3,2020-10-02
30-34 years,9003,7,2020-10-02
35-39 years,8176,10,2020-10-02
40-44 years,7274,11,2020-10-02
45-49 years,6943,20,2020-10-02
50-54 years,6875,46,2020-10-02
55-59 years,6145,68,2020-10-02
60-64 years,4758,110,2020-10-02
65-69 years,3207,139,2020-10-02
70-74 years,2406,201,2020-10-02
75-79 years,1884,217,2020-10-02
80-84 years,1594,334,2020-10-02
85-89 years,1352,353,2020-10-02
90-94 years,970,331,2020-10-02
95-99 years,428,172,2020-10-02
100+ years,75,35,2020-10-02
Unknown/missing,6,0,2020-10-02
0-4 years,2032,1,2020-10-03
5-9 years,1976,0,2020-10-03
10-14 years,3008,0,2020-10-03
15-19 years,9780,0,2020-10-03
20-24 years,13909,1,2020-10-03
25-29 years,10087,3,2020-10-03
30-34 years,9143,7,2020-10-03
35-39 years,8276,10,2020-10-03
40-44 years,7373,11,2020-10-03
45-49 years,7045,20,2020-10-03
50-54 years,6956,47,2020-10-03
55-59 years,6246,68,2020-10-03
60-64 years,4851,111,2020-10-03
65-69 years,3269,140,2020-10-03
70-74 years,2445,203,2020-10-03
75-79 years,1919,220,2020-10-03
80-84 years,1616,335,2020-10-03
85-89 years,1361,354,2020-10-03
90-94 years,980,332,2020-10-03
95-99 years,433,175,2020-10-03
100+ years,76,35,2020-10-03
Unknown/missing,6,0,2020-10-03
0-4 years,2052,1,2020-10-04
5-9 years,2000,0,2020-10-04
10-14 years,3042,0,2020-10-04
15-19 years,9882,0,2020-10-04
20-24 years,14008,1,2020-10-04
25-29 years,10192,3,2020-10-04
30-34 years,9234,7,2020-10-04
35-39 years,8355,10,2020-10-04
40-44 years,7423,11,2020-10-04
45-49 years,7111,20,2020-10-04
50-54 years,7041,47,2020-10-04
55-59 years,6310,68,2020-10-04
60-64 years,4927,111,2020-10-04
65-69 years,3311,140,2020-10-04
70-74 years,2477,205,2020-10-04
75-79 years,1947,222,2020-10-04
80-84 years,1634,335,2020-10-04
85-89 years,1375,355,2020-10-04
90-94 years,987,334,2020-10-04
95-99 years,436,175,2020-10-04
100+ years,76,35,2020-10-04
Unknown/missing,6,0,2020-10-04
0-4 years,2072,1,2020-10-05
5-9 years,2026,0,2020-10-05
10-14 years,3074,0,2020-10-05
15-19 years,9975,0,2020-10-05
20-24 years,14112,1,2020-10-05
25-29 years,10291,3,2020-10-05
30-34 years,9320,7,2020-10-05
35-39 years,8441,10,2020-10-05
40-44 years,7492,11,2020-10-05
45-49 years,7168,20,2020-10-05
50-54 years,7092,47,2020-10-05
55-59 years,6374,68,2020-10-05
60-64 years,4989,111,2020-10-05
65-69 years,3354,140,2020-10-05
70-74 years,2503,205,2020-10-05
75-79 years,1962,222,2020-10-05
80-84 years,1651,336,2020-10-05
85-89 years,1386,355,2020-10-05
90-94 years,995,336,2020-10-05
95-99 years,439,175,2020-10-05
100+ years,76,35,2020-10-05
Unknown/missing,7,0,2020-10-05
0-4 years,2087,1,2020-10-06
5-9 years,2053,0,2020-10-06
10-14 years,3100,0,2020-10-06
15-19 years,10046,0,2020-10-06
20-24 years,14225,1,2020-10-06
25-29 years,10375,3,2020-10-06
30-34 years,9406,7,2020-10-06
35-39 years,8517,10,2020-10-06
40-44 years,7549,11,2020-10-06
45-49 years,7231,20,2020-10-06
50-54 years,7163,47,2020-10-06
55-59 years,6438,68,2020-10-06
60-64 years,5041,113,2020-10-06
65-69 years,3390,140,2020-10-06
70-74 years,2544,205,2020-10-06
75-79 years,1991,222,2020-10-06
80-84 years,1663,337,2020-10-06
85-89 years,1392,356,2020-10-06
90-94 years,1002,336,2020-10-06
95-99 years,441,175,2020-10-06
100+ years,78,35,2020-10-06
Unknown/missing,8,0,2020-10-06
0-4 years,2100,1,2020-10-07
5-9 years,2074,0,2020-10-07
10-14 years,3133,0,2020-10-07
15-19 years,10122,0,2020-10-07
20-24 years,14307,1,2020-10-07
25-29 years,10447,3,2020-10-07
30-34 years,9500,7,2020-10-07
35-39 years,8580,10,2020-10-07
40-44 years,7623,11,2020-10-07
45-49 years,7293,20,2020-10-07
50-54 years,7222,47,2020-10-07
55-59 years,6511,68,2020-10-07
60-64 years,5109,113,2020-10-07
65-69 years,3428,140,2020-10-07
70-74 years,2573,206,2020-10-07
75-79 years,2008,225,2020-10-07
80-84 years,1680,339,2020-10-07
85-89 years,1406,359,2020-10-07
90-94 years,1005,341,2020-10-07
95-99 years,444,175,2020-10-07
100+ years,78,35,2020-10-07
Unknown/missing,8,0,2020-10-07
0-4 years,2115,1,2020-10-08
5-9 years,2107,0,2020-10-08
10-14 years,3178,0,2020-10-08
15-19 years,10207,0,2020-10-08
20-24 years,14424,1,2020-10-08
25-29 years,10543,3,2020-10-08
30-34 years,9610,7,2020-10-08
35-39 years,8672,10,2020-10-08
40-44 years,7715,11,2020-10-08
45-49 years,7382,20,2020-10-08
50-54 years,7329,48,2020-10-08
55-59 years,6615,68,2020-10-08
60-64 years,5184,114,2020-10-08
65-69 years,3489,140,2020-10-08
70-74 years,2614,206,2020-10-08
75-79 years,2045,225,2020-10-08
80-84 years,1701,339,2020-10-08
85-89 years,1433,360,2020-10-08
90-94 years,1023,342,2020-10-08
95-99 years,448,175,2020-10-08
100+ years,79,36,2020-10-08
Unknown/missing,9,0,2020-10-08
0-4 years,2135,1,2020-10-09
5-9 years,2129,0,2020-10-09
10-14 years,3221,0,2020-10-09
15-19 years,10316,0,2020-10-09
20-24 years,14578,1,2020-10-09
25-29 years,10664,3,2020-10-09
30-34 years,9727,7,2020-10-09
35-39 years,8776,10,2020-10-09
40-44 years,7814,11,2020-10-09
45-49 years,7469,21,2020-10-09
50-54 years,7440,47,2020-10-09
55-59 years,6720,69,2020-10-09
60-64 years,5263,114,2020-10-09
65-69 years,3567,143,2020-10-09
70-74 years,2664,208,2020-10-09
75-79 years,2075,227,2020-10-09
80-84 years,1727,340,2020-10-09
85-89 years,1450,362,2020-10-09
90-94 years,1033,344,2020-10-09
95-99 years,454,176,2020-10-09
100+ years,79,37,2020-10-09
Unknown/missing,11,0,2020-10-09
0-4 years,2173,1,2020-10-10
5-9 years,2179,0,2020-10-10
10-14 years,3298,0,2020-10-10
15-19 years,10425,0,2020-10-10
20-24 years,14710,1,2020-10-10
25-29 years,10820,3,2020-10-10
30-34 years,9855,7,2020-10-10
35-39 years,8892,10,2020-10-10
40-44 years,7920,11,2020-10-10
45-49 years,7571,21,2020-10-10
50-54 years,7530,47,2020-10-10
55-59 years,6833,69,2020-10-10
60-64 years,5357,114,2020-10-10
65-69 years,3627,145,2020-10-10
70-74 years,2713,209,2020-10-10
75-79 years,2115,229,2020-10-10
80-84 years,1751,342,2020-10-10
85-89 years,1468,363,2020-10-10
90-94 years,1044,346,2020-10-10
95-99 years,458,176,2020-10-10
100+ years,80,37,2020-10-10
Unknown/missing,9,0,2020-10-10
0-4 years,2199,1,2020-10-11
5-9 years,2214,0,2020-10-11
10-14 years,3350,0,2020-10-11
15-19 years,10542,0,2020-10-11
20-24 years,14831,1,2020-10-11
25-29 years,10969,3,2020-10-11
30-34 years,10004,7,2020-10-11
35-39 years,9001,10,2020-10-11
40-44 years,8045,11,2020-10-11
45-49 years,7644,22,2020-10-11
50-54 years,7625,48,2020-10-11
55-59 years,6914,69,2020-10-11
60-64 years,5440,114,2020-10-11
65-69 years,3695,146,2020-10-11
70-74 years,2761,210,2020-10-11
75-79 years,2138,230,2020-10-11
80-84 years,1784,342,2020-10-11
85-89 years,1497,366,2020-10-11
90-94 years,1059,348,2020-10-11
95-99 years,463,176,2020-10-11
100+ years,82,37,2020-10-11
Unknown/missing,11,0,2020-10-11
0-4 years,2224,1,2020-10-12
5-9 years,2234,0,2020-10-12
10-14 years,3394,0,2020-10-12
15-19 years,10617,0,2020-10-12
20-24 years,14938,1,2020-10-12
25-29 years,11084,3,2020-10-12
30-34 years,10107,7,2020-10-12
35-39 years,9109,10,2020-10-12
40-44 years,8138,11,2020-10-12
45-49 years,7722,22,2020-10-12
50-54 years,7707,48,2020-10-12
55-59 years,7004,69,2020-10-12
60-64 years,5507,114,2020-10-12
65-69 years,3733,147,2020-10-12
70-74 years,2806,211,2020-10-12
75-79 years,2154,230,2020-10-12
80-84 years,1802,342,2020-10-12
85-89 years,1520,367,2020-10-12
90-94 years,1075,348,2020-10-12
95-99 years,470,176,2020-10-12
100+ years,83,37,2020-10-12
Unknown/missing,11,0,2020-10-12
0-4 years,2239,1,2020-10-13
5-9 years,2256,0,2020-10-13
10-14 years,3430,0,2020-10-13
15-19 years,10711,0,2020-10-13
20-24 years,15043,1,2020-10-13
25-29 years,11200,3,2020-10-13
30-34 years,10219,7,2020-10-13
35-39 years,9211,10,2020-10-13
40-44 years,8218,11,2020-10-13
45-49 years,7812,22,2020-10-13
50-54 years,7772,48,2020-10-13
55-59 years,7095,69,2020-10-13
60-64 years,5564,114,2020-10-13
65-69 years,3780,147,2020-10-13
70-74 years,2842,211,2020-10-13
75-79 years,2182,231,2020-10-13
80-84 years,1814,345,2020-10-13
85-89 years,1538,369,2020-10-13
90-94 years,1080,348,2020-10-13
95-99 years,473,177,2020-10-13
100+ years,84,37,2020-10-13
Unknown/missing,11,0,2020-10-13
0-4 years,2279,1,2020-10-14
5-9 years,2300,0,2020-10-14
10-14 years,3486,0,2020-10-14
15-19 years,10810,0,2020-10-14
20-24 years,15162,1,2020-10-14
25-29 years,11326,3,2020-10-14
30-34 years,10330,7,2020-10-14
35-39 years,9312,10,2020-10-14
40-44 years,8318,11,2020-10-14
45-49 years,7891,22,2020-10-14
50-54 years,7868,49,2020-10-14
55-59 years,7176,69,2020-10-14
60-64 years,5650,116,2020-10-14
65-69 years,3847,149,2020-10-14
70-74 years,2896,212,2020-10-14
75-79 years,2212,232,2020-10-14
80-84 years,1843,348,2020-10-14
85-89 years,1558,375,2020-10-14
90-94 years,1097,351,2020-10-14
95-99 years,482,180,2020-10-14
100+ years,88,38,2020-10-14
Unknown/missing,12,6,2020-10-14
0-4 years,2293,1,2020-10-15
5-9 years,2321,0,2020-10-15
10-14 years,3517,0,2020-10-15
15-19 years,10891,0,2020-10-15
20-24 years,15262,1,2020-10-15
25-29 years,11419,3,2020-10-15
30-34 years,10438,8,2020-10-15
35-39 years,9420,10,2020-10-15
40-44 years,8423,11,2020-10-15
45-49 years,7957,22,2020-10-15
50-54 years,7968,49,2020-10-15
55-59 years,7272,70,2020-10-15
60-64 years,5725,121,2020-10-15
65-69 years,3892,149,2020-10-15
70-74 years,2946,213,2020-10-15
75-79 years,2237,232,2020-10-15
80-84 years,1858,351,2020-10-15
85-89 years,1573,378,2020-10-15
90-94 years,1104,351,2020-10-15
95-99 years,484,184,2020-10-15
100+ years,90,38,2020-10-15
Unknown/missing,16,7,2020-10-15
0-4 years,2335,1,2020-10-16
5-9 years,2386,0,2020-10-16
10-14 years,3600,0,2020-10-16
15-19 years,11066,0,2020-10-16
20-24 years,15489,1,2020-10-16
25-29 years,11619,3,2020-10-16
30-34 years,10603,8,2020-10-16
35-39 years,9603,10,2020-10-16
40-44 years,8595,11,2020-10-16
45-49 years,8143,22,2020-10-16
50-54 years,8117,49,2020-10-16
55-59 years,7452,71,2020-10-16
60-64 years,5876,124,2020-10-16
65-69 years,3975,151,2020-10-16
70-74 years,3018,214,2020-10-16
75-79 years,2285,232,2020-10-16
80-84 years,1896,352,2020-10-16
85-89 years,1614,380,2020-10-16
90-94 years,1124,356,2020-10-16
95-99 years,493,187,2020-10-16
100+ years,91,40,2020-10-16
Unknown/missing,16,0,2020-10-16
0-4 years,2365,1,2020-10-17
5-9 years,2429,0,2020-10-17
10-14 years,3662,0,2020-10-17
15-19 years,11186,0,2020-10-17
20-24 years,15682,1,2020-10-17
25-29 years,11787,3,2020-10-17
30-34 years,10752,8,2020-10-17
35-39 years,9744,10,2020-10-17
40-44 years,8696,11,2020-10-17
45-49 years,8265,22,2020-10-17
50-54 years,8253,49,2020-10-17
55-59 years,7564,71,2020-10-17
60-64 years,5974,124,2020-10-17
65-69 years,4042,151,2020-10-17
70-74 years,3082,214,2020-10-17
75-79 years,2321,234,2020-10-17
80-84 years,1916,354,2020-10-17
85-89 years,1631,381,2020-10-17
90-94 years,1132,356,2020-10-17
95-99 years,500,187,2020-10-17
100+ years,91,40,2020-10-17
Unknown/missing,16,0,2020-10-17
0-4 years,2391,1,2020-10-18
5-9 years,2464,0,2020-10-18
10-14 years,3729,0,2020-10-18
15-19 years,11290,0,2020-10-18
20-24 years,15828,1,2020-10-18
25-29 years,11961,3,2020-10-18
30-34 years,10899,8,2020-10-18
35-39 years,9875,10,2020-10-18
40-44 years,8835,11,2020-10-18
45-49 years,8389,22,2020-10-18
50-54 years,8385,49,2020-10-18
55-59 years,7718,71,2020-10-18
60-64 years,6086,125,2020-10-18
65-69 years,4116,153,2020-10-18
70-74 years,3145,215,2020-10-18
75-79 years,2369,236,2020-10-18
80-84 years,1933,356,2020-10-18
85-89 years,1645,386,2020-10-18
90-94 years,1144,358,2020-10-18
95-99 years,502,189,2020-10-18
100+ years,92,40,2020-10-18
Unknown/missing,16,0,2020-10-18
0-4 years,2422,1,2020-10-19
5-9 years,2501,0,2020-10-19
10-14 years,3780,0,2020-10-19
15-19 years,11395,0,2020-10-19
20-24 years,15978,1,2020-10-19
25-29 years,12108,3,2020-10-19
30-34 years,11034,8,2020-10-19
35-39 years,10001,10,2020-10-19
40-44 years,8958,11,2020-10-19
45-49 years,8519,22,2020-10-19
50-54 years,8506,49,2020-10-19
55-59 years,7850,71,2020-10-19
60-64 years,6172,127,2020-10-19
65-69 years,4182,153,2020-10-19
70-74 years,3203,215,2020-10-19
75-79 years,2408,236,2020-10-19
80-84 years,1970,356,2020-10-19
85-89 years,1674,388,2020-10-19
90-94 years,1162,358,2020-10-19
95-99 years,506,190,2020-10-19
100+ years,92,40,2020-10-19
Unknown/missing,18,0,2020-10-19
0-4 years,2449,1,2020-10-20
5-9 years,2523,0,2020-10-20
10-14 years,3819,0,2020-10-20
15-19 years,11467,0,2020-10-20
20-24 years,16068,1,2020-10-20
25-29 years,12200,3,2020-10-20
30-34 years,11116,8,2020-10-20
35-39 years,10098,10,2020-10-20
40-44 years,9031,11,2020-10-20
45-49 years,8596,22,2020-10-20
50-54 years,8584,49,2020-10-20
55-59 years,7928,72,2020-10-20
60-64 years,6258,127,2020-10-20
65-69 years,4238,153,2020-10-20
70-74 years,3243,215,2020-10-20
75-79 years,2445,236,2020-10-20
80-84 years,1984,357,2020-10-20
85-89 years,1691,389,2020-10-20
90-94 years,1170,362,2020-10-20
95-99 years,513,190,2020-10-20
100+ years,93,40,2020-10-20
Unknown/missing,17,0,2020-10-20
0-4 years,2469,1,2020-10-21
5-9 years,2544,0,2020-10-21
10-14 years,3851,0,2020-10-21
15-19 years,11548,0,2020-10-21
20-24 years,16158,1,2020-10-21
25-29 years,12294,3,2020-10-21
30-34 years,11215,8,2020-10-21
35-39 years,10199,10,2020-10-21
40-44 years,9112,11,2020-10-21
45-49 years,8681,22,2020-10-21
50-54 years,8658,49,2020-10-21
55-59 years,8005,72,2020-10-21
60-64 years,6317,128,2020-10-21
65-69 years,4284,157,2020-10-21
70-74 years,3272,218,2020-10-21
75-79 years,2472,240,2020-10-21
80-84 years,1999,361,2020-10-21
85-89 years,1710,395,2020-10-21
90-94 years,1180,369,2020-10-21
95-99 years,514,195,2020-10-21
100+ years,93,41,2020-10-21
Unknown/missing,16,0,2020-10-21
0-4 years,2502,1,2020-10-22
5-9 years,2585,0,2020-10-22
10-14 years,3916,0,2020-10-22
15-19 years,11641,0,2020-10-22
20-24 years,16285,1,2020-10-22
25-29 years,12451,3,2020-10-22
30-34 years,11343,8,2020-10-22
35-39 years,10301,10,2020-10-22
40-44 years,9223,11,2020-10-22
45-49 years,8804,22,2020-10-22
50-54 years,8772,49,2020-10-22
55-59 years,8120,72,2020-10-22
60-64 years,6419,128,2020-10-22
65-69 years,4345,157,2020-10-22
70-74 years,3328,221,2020-10-22
75-79 years,2523,242,2020-10-22
80-84 years,2038,365,2020-10-22
85-89 years,1734,399,2020-10-22
90-94 years,1190,373,2020-10-22
95-99 years,519,197,2020-10-22
100+ years,94,42,2020-10-22
Unknown/missing,19,0,2020-10-22
0-4 years,2536,1,2020-10-23
5-9 years,2624,0,2020-10-23
10-14 years,3988,0,2020-10-23
15-19 years,11769,0,2020-10-23
20-24 years,16429,1,2020-10-23
25-29 years,12611,3,2020-10-23
30-34 years,11466,8,2020-10-23
35-39 years,10447,10,2020-10-23
40-44 years,9371,11,2020-10-23
45-49 years,8916,23,2020-10-23
50-54 years,8893,50,2020-10-23
55-59 years,8242,73,2020-10-23
60-64 years,6536,129,2020-10-23
65-69 years,4415,158,2020-10-23
70-74 years,3393,223,2020-10-23
75-79 years,2561,243,2020-10-23
80-84 years,2066,366,2020-10-23
85-89 years,1754,402,2020-10-23
90-94 years,1209,374,2020-10-23
95-99 years,524,197,2020-10-23
100+ years,95,42,2020-10-23
Unknown/missing,18,0,2020-10-23
0-4 years,2575,1,2020-10-24
5-9 years,2680,0,2020-10-24
10-14 years,4048,0,2020-10-24
15-19 years,11909,0,2020-10-24
20-24 years,16646,1,2020-10-24
25-29 years,12875,3,2020-10-24
30-34 years,11687,8,2020-10-24
35-39 years,10630,10,2020-10-24
40-44 years,9542,11,2020-10-24
45-49 years,9091,23,2020-10-24
50-54 years,9066,51,2020-10-24
55-59 years,8408,73,2020-10-24
60-64 years,6682,130,2020-10-24
65-69 years,4502,159,2020-10-24
70-74 years,3449,224,2020-10-24
75-79 years,2597,245,2020-10-24
80-84 years,2099,366,2020-10-24
85-89 years,1774,407,2020-10-24
90-94 years,1227,376,2020-10-24
95-99 years,527,198,2020-10-24
100+ years,96,42,2020-10-24
Unknown/missing,12,0,2020-10-24
0-4 years,2598,1,2020-10-25
5-9 years,2720,0,2020-10-25
10-14 years,4104,0,2020-10-25
15-19 years,12008,0,2020-10-25
20-24 years,16812,1,2020-10-25
25-29 years,13011,3,2020-10-25
30-34 years,11823,9,2020-10-25
35-39 years,10765,10,2020-10-25
40-44 years,9687,11,2020-10-25
45-49 years,9226,23,2020-10-25
50-54 years,9192,52,2020-10-25
55-59 years,8537,73,2020-10-25
60-64 years,6783,131,2020-10-25
65-69 years,4582,160,2020-10-25
70-74 years,3496,227,2020-10-25
75-79 years,2632,246,2020-10-25
80-84 years,2134,369,2020-10-25
85-89 years,1797,411,2020-10-25
90-94 years,1249,379,2020-10-25
95-99 years,536,200,2020-10-25
100+ years,97,43,2020-10-25
Unknown/missing,13,0,2020-10-25
0-4 years,2636,1,2020-10-26
5-9 years,2759,0,2020-10-26
10-14 years,4158,0,2020-10-26
15-19 years,12105,0,2020-10-26
20-24 years,16958,1,2020-10-26
25-29 years,13156,3,2020-10-26
30-34 years,11960,9,2020-10-26
35-39 years,10900,10,2020-10-26
40-44 years,9803,11,2020-10-26
45-49 years,9335,23,2020-10-26
50-54 years,9300,52,2020-10-26
55-59 years,8652,73,2020-10-26
60-64 years,6891,131,2020-10-26
65-69 years,4639,160,2020-10-26
70-74 years,3546,228,2020-10-26
75-79 years,2669,247,2020-10-26
80-84 years,2161,370,2020-10-26
85-89 years,1827,411,2020-10-26
90-94 years,1266,380,2020-10-26
95-99 years,539,200,2020-10-26
100+ years,98,43,2020-10-26
Unknown/missing,14,0,2020-10-26
0-4 years,2675,1,2020-10-27
5-9 years,2818,0,2020-10-27
10-14 years,4227,0,2020-10-27
15-19 years,12228,0,2020-10-27
20-24 years,17147,1,2020-10-27
25-29 years,13364,3,2020-10-27
30-34 years,12161,9,2020-10-27
35-39 years,11072,10,2020-10-27
40-44 years,9955,11,2020-10-27
45-49 years,9501,23,2020-10-27
50-54 years,9449,53,2020-10-27
55-59 years,8803,76,2020-10-27
60-64 years,7050,131,2020-10-27
65-69 years,4737,160,2020-10-27
70-74 years,3633,229,2020-10-27
75-79 years,2722,251,2020-10-27
80-84 years,2196,372,2020-10-27
85-89 years,1858,413,2020-10-27
90-94 years,1286,381,2020-10-27
95-99 years,543,201,2020-10-27
100+ years,98,43,2020-10-27
Unknown/missing,13,0,2020-10-27
0-4 years,2708,1,2020-10-28
5-9 years,2858,0,2020-10-28
10-14 years,4286,0,2020-10-28
15-19 years,12344,0,2020-10-28
20-24 years,17336,1,2020-10-28
25-29 years,13555,3,2020-10-28
30-34 years,12320,9,2020-10-28
35-39 years,11245,10,2020-10-28
40-44 years,10101,11,2020-10-28
45-49 years,9629,23,2020-10-28
50-54 years,9572,53,2020-10-28
55-59 years,8964,76,2020-10-28
60-64 years,7173,131,2020-10-28
65-69 years,4830,160,2020-10-28
70-74 years,3696,231,2020-10-28
75-79 years,2761,251,2020-10-28
80-84 years,2236,378,2020-10-28
85-89 years,1873,420,2020-10-28
90-94 years,1296,385,2020-10-28
95-99 years,547,201,2020-10-28
100+ years,100,43,2020-10-28
Unknown/missing,14,0,2020-10-28
0-4 years,2758,1,2020-10-29
5-9 years,2936,0,2020-10-29
10-14 years,4392,0,2020-10-29
15-19 years,12521,0,2020-10-29
20-24 years,17575,1,2020-10-29
25-29 years,13827,3,2020-10-29
30-34 years,12564,9,2020-10-29
35-39 years,11490,10,2020-10-29
40-44 years,10305,11,2020-10-29
45-49 years,9825,23,2020-10-29
50-54 years,9789,53,2020-10-29
55-59 years,9194,77,2020-10-29
60-64 years,7362,133,2020-10-29
65-69 years,4957,162,2020-10-29
70-74 years,3804,232,2020-10-29
75-79 years,2825,255,2020-10-29
80-84 years,2294,381,2020-10-29
85-89 years,1916,427,2020-10-29
90-94 years,1313,394,2020-10-29
95-99 years,553,203,2020-10-29
100+ years,102,44,2020-10-29
Unknown/missing,9,0,2020-10-29
0-4 years,2806,1,2020-10-30
5-9 years,3009,0,2020-10-30
10-14 years,4510,0,2020-10-30
15-19 years,12748,0,2020-10-30
20-24 years,17861,1,2020-10-30
25-29 years,14124,3,2020-10-30
30-34 years,12813,9,2020-10-30
35-39 years,11754,10,2020-10-30
40-44 years,10559,11,2020-10-30
45-49 years,10086,23,2020-10-30
50-54 years,9993,53,2020-10-30
55-59 years,9438,78,2020-10-30
60-64 years,7570,133,2020-10-30
65-69 years,5081,163,2020-10-30
70-74 years,3900,234,2020-10-30
75-79 years,2901,260,2020-10-30
80-84 years,2337,384,2020-10-30
85-89 years,1963,430,2020-10-30
90-94 years,1338,396,2020-10-30
95-99 years,562,204,2020-10-30
100+ years,103,44,2020-10-30
Unknown/missing,9,0,2020-10-30
0-4 years,2842,1,2020-10-31
5-9 years,3065,0,2020-10-31
10-14 years,4591,0,2020-10-31
15-19 years,12939,0,2020-10-31
20-24 years,18125,1,2020-10-31
25-29 years,14384,3,2020-10-31
30-34 years,13092,9,2020-10-31
35-39 years,11994,10,2020-10-31
40-44 years,10810,11,2020-10-31
45-49 years,10316,24,2020-10-31
50-54 years,10235,53,2020-10-31
55-59 years,9670,78,2020-10-31
60-64 years,7762,134,2020-10-31
65-69 years,5201,163,2020-10-31
70-74 years,4001,236,2020-10-31
75-79 years,2979,262,2020-10-31
80-84 years,2393,387,2020-10-31
85-89 years,2005,435,2020-10-31
90-94 years,1376,400,2020-10-31
95-99 years,580,206,2020-10-31
100+ years,104,44,2020-10-31
Unknown/missing,8,0,2020-10-31
0-4 years,2877,1,2020-11-01
5-9 years,3115,0,2020-11-01
10-14 years,4670,0,2020-11-01
15-19 years,13072,0,2020-11-01
20-24 years,18366,1,2020-11-01
25-29 years,14602,3,2020-11-01
30-34 years,13287,9,2020-11-01
35-39 years,12174,10,2020-11-01
40-44 years,10967,11,2020-11-01
45-49 years,10475,24,2020-11-01
50-54 years,10393,53,2020-11-01
55-59 years,9829,79,2020-11-01
60-64 years,7913,135,2020-11-01
65-69 years,5284,165,2020-11-01
70-74 years,4066,237,2020-11-01
75-79 years,3023,266,2020-11-01
80-84 years,2431,389,2020-11-01
85-89 years,2034,437,2020-11-01
90-94 years,1395,403,2020-11-01
95-99 years,586,208,2020-11-01
100+ years,106,44,2020-11-01
Unknown/missing,7,0,2020-11-01
0-4 years,2925,1,2020-11-02
5-9 years,3191,0,2020-11-02
10-14 years,4769,0,2020-11-02
15-19 years,13268,0,2020-11-02
20-24 years,18654,1,2020-11-02
25-29 years,14887,3,2020-11-02
30-34 years,13555,9,2020-11-02
35-39 years,12433,10,2020-11-02
40-44 years,11181,11,2020-11-02
45-49 years,10690,24,2020-11-02
50-54 years,10625,53,2020-11-02
55-59 years,10038,81,2020-11-02
60-64 years,8069,136,2020-11-02
65-69 years,5403,165,2020-11-02
70-74 years,4153,237,2020-11-02
75-79 years,3082,268,2020-11-02
80-84 years,2485,389,2020-11-02
85-89 years,2074,438,2020-11-02
90-94 years,1425,404,2020-11-02
95-99 years,595,210,2020-11-02
100+ years,108,44,2020-11-02
Unknown/missing,10,0,2020-11-02
0-4 years,2971,1,2020-11-03
5-9 years,3273,0,2020-11-03
10-14 years,4904,0,2020-11-03
15-19 years,13502,0,2020-11-03
20-24 years,18999,1,2020-11-03
25-29 years,15254,3,2020-11-03
30-34 years,13859,9,2020-11-03
35-39 years,12739,10,2020-11-03
40-44 years,11437,11,2020-11-03
45-49 years,10957,24,2020-11-03
50-54 years,10890,53,2020-11-03
55-59 years,10311,82,2020-11-03
60-64 years,8272,137,2020-11-03
65-69 years,5536,165,2020-11-03
70-74 years,4243,237,2020-11-03
75-79 years,3150,270,2020-11-03
80-84 years,2515,389,2020-11-03
85-89 years,2109,445,2020-11-03
90-94 years,1449,405,2020-11-03
