date,day,new_hosp,new_icu,new_deaths,new_cases,new_nonicu,cases_complete,deaths_complete
2022-12-26,Monday,78.57142857142857,10.428571428571429,6,642.5714285714286,68.14285714285714,TRUE,TRUE
2022-12-27,Tuesday,79.57142857142857,9.857142857142858,5.285714285714286,647.8571428571429,69.71428571428571,TRUE,TRUE
2022-12-28,Wednesday,79,10.285714285714286,6,642.4285714285714,68.71428571428571,TRUE,TRUE
2022-12-29,Thursday,78.42857142857143,10.714285714285714,6.142857142857143,661,67.71428571428571,TRUE,TRUE
2022-12-30,Friday,81.85714285714286,10.571428571428571,6.857142857142857,689.5714285714286,71.28571428571429,TRUE,TRUE
2022-12-31,Saturday,81.42857142857143,10,7.428571428571429,687.2857142857143,71.42857142857143,TRUE,TRUE
2023-01-01,Sunday,80.42857142857143,10.714285714285714,8,690.4285714285714,69.71428571428571,TRUE,TRUE
2023-01-02,Monday,82,10.285714285714286,8,698.7142857142857,71.71428571428571,TRUE,TRUE
2023-01-03,Tuesday,78.28571428571429,10.714285714285714,8.571428571428571,661.7142857142857,67.57142857142857,TRUE,TRUE
2023-01-04,Wednesday,75.42857142857143,11.428571428571429,8.714285714285714,622.8571428571429,64,TRUE,TRUE
2023-01-05,Thursday,73.71428571428571,10.714285714285714,9.285714285714286,597.4285714285714,63,TRUE,TRUE
2023-01-06,Friday,72.42857142857143,10.142857142857142,10.428571428571429,573.4285714285714,62.285714285714285,TRUE,TRUE
2023-01-07,Saturday,73.42857142857143,10.857142857142858,10.142857142857142,574.1428571428571,62.57142857142857,TRUE,TRUE
2023-01-08,Sunday,72,10.714285714285714,9.857142857142858,582.4285714285714,61.285714285714285,TRUE,TRUE
2023-01-09,Monday,67.14285714285714,11.142857142857142,9.857142857142858,587,56,TRUE,TRUE
2023-01-10,Tuesday,65.57142857142857,10.714285714285714,9.142857142857142,577.4285714285714,54.857142857142854,TRUE,TRUE
2023-01-11,Wednesday,62.714285714285715,10.142857142857142,8.714285714285714,577.5714285714286,52.57142857142857,TRUE,TRUE
2023-01-12,Thursday,59.857142857142854,10.142857142857142,8.428571428571429,562,49.714285714285715,TRUE,TRUE
2023-01-13,Friday,57,10.142857142857142,7.285714285714286,547.2857142857143,46.857142857142854,TRUE,TRUE
2023-01-14,Saturday,53,9.428571428571429,6.857142857142857,536.1428571428571,43.57142857142857,TRUE,TRUE
2023-01-15,Sunday,51.57142857142857,8.285714285714286,7.428571428571429,538,43.285714285714285,TRUE,TRUE
2023-01-16,Monday,51.857142857142854,7.571428571428571,7,532.1428571428571,44.285714285714285,TRUE,TRUE
2023-01-17,Tuesday,52.42857142857143,8.428571428571429,7.428571428571429,543.2857142857143,44,TRUE,TRUE
