date,icu_used_pct,nonicu_used_pct,covid_pct_icu,covid_pct_nonicu,inuse_icu_non_covid,inuse_icu_covid,inuse_non_icu_covid,inuse_non_icu_non_covid,inuse_beds_surge,inuse_non_icu_na,inuse_icu_na,inuse_vents,avail_beds,avail_non_icu,avail_icu,avail_vents,surge_beds,surge_ventilators
2020-05-27,NA,NA,NA,NA,NA,NA,NA,NA,292,6473,1031,576,953,7688,1257,859,953,1449
2020-05-28,NA,NA,NA,NA,NA,NA,NA,NA,292,6525,1035,584,953,7688,1257,851,953,1449
2020-05-29,NA,NA,NA,NA,NA,NA,NA,NA,448,6446,1039,577,938,7687,1257,856,938,1449
2020-05-30,NA,NA,NA,NA,NA,NA,NA,NA,385,6392,1040,596,938,7687,1257,837,938,1449
2020-05-31,NA,NA,NA,NA,NA,NA,NA,NA,373,6252,1028,597,938,7687,1257,836,938,1449
2020-06-01,NA,NA,NA,NA,NA,NA,NA,NA,31,6314,1030,567,938,7687,1257,866,938,1449
2020-06-02,NA,NA,NA,NA,NA,NA,NA,NA,34,6418,1037,574,947,7677,1255,858,947,1545
2020-06-03,NA,NA,NA,NA,NA,NA,NA,NA,17,6462,1030,586,944,7681,1255,847,944,1538
2020-06-04,NA,NA,NA,NA,NA,NA,NA,NA,17,6396,1031,583,944,7681,1255,850,944,1539
2020-06-05,NA,NA,NA,NA,NA,NA,NA,NA,15,6447,1025,577,944,7681,1255,859,944,1539
2020-06-06,NA,NA,NA,NA,NA,NA,NA,NA,10,6311,1049,574,944,7681,1255,860,944,1539
2020-06-07,NA,NA,NA,NA,NA,NA,NA,NA,9,6330,1043,551,944,7681,1255,883,944,1539
2020-06-08,NA,NA,NA,NA,NA,NA,NA,NA,9,6384,1036,528,944,7681,1255,906,944,1539
2020-06-09,0.846215139442231,0.8017185262335633,0.1440677966101695,0.03134134459240013,909,153,193,5965,10,6566,1075,541,944,7681,1255,893,944,1539
2020-06-10,0.8621513944223107,0.8324436922275745,0.14417744916820702,0.029402564904598062,926,156,188,6206,10,6569,1075,538,944,7681,1255,896,944,1539
2020-06-11,0.8438247011952191,0.8301002473636245,0.14636449480642116,0.028387703889585947,904,155,181,6195,11,6610,1084,524,944,7681,1255,910,944,1539
2020-06-12,0.848605577689243,0.8245020179664106,0.14553990610328638,0.02936996684036002,910,155,186,6147,7,6568,1075,545,944,7681,1255,889,944,1539
2020-06-13,0.8350597609561753,0.760187475589116,0.14122137404580154,0.02877205000856311,900,148,168,5671,3,6484,1072,540,944,7681,1255,894,944,1539
2020-06-14,0.7713147410358566,0.7144903007420909,0.1559917355371901,0.02879008746355685,817,151,158,5330,1,6422,1053,542,944,7681,1255,892,944,1539
2020-06-15,0.798406374501992,0.7463871891680771,0.1467065868263473,0.026687598116169546,855,147,153,5580,1,6411,1049,525,944,7681,1255,909,944,1628
2020-06-16,0.8350597609561753,0.8069513147617808,0.1364503816793893,0.023874818519115985,905,143,148,6051,1,6489,1073,537,944,7682,1255,897,944,1628
2020-06-17,0.8756972111553785,0.8383233532934131,0.12192902638762511,0.021894409937888198,965,134,141,6299,7,6593,1082,547,944,7682,1255,887,944,1628
2020-06-18,0.8653386454183267,0.8293413173652695,0.11970534069981584,0.022288494741798774,956,130,142,6229,6,6589,1067,552,943,7682,1255,882,943,1620
2020-06-19,0.847011952191235,0.8117677688102056,0.11947318908748825,0.02196921103271328,936,127,137,6099,0,6499,1062,561,943,7682,1255,873,943,1620
2020-06-20,0.8199203187250996,0.7593074720124967,0.11564625850340136,0.027430138865078006,910,119,160,5673,0,6415,1067,533,943,7682,1255,901,943,1620
2020-06-21,0.7960159362549801,0.7171309554803437,0.11411411411411411,0.028680341259756763,885,114,158,5351,0,6355,1041,510,943,7682,1255,924,943,1620
2020-06-22,0.7649402390438247,0.7323613642280656,0.084375,0.033771773906861,879,81,190,5436,0,6402,1069,510,943,7682,1255,924,943,1620
2020-06-23,0.7936254980079681,0.810726373340276,0.11244979919678715,0.025529865125240848,884,112,159,6069,0,6597,1059,553,943,7682,1255,881,943,1620
2020-06-24,0.7872509960159363,0.8415777141369435,0.11437246963562753,0.024129930394431554,875,113,156,6309,0,6532,1075,549,943,7682,1255,880,943,1620
2020-06-25,0.8215139442231075,0.8456131215829211,0.11639185257032007,0.025092364532019705,911,120,163,6333,0,6610,1062,585,943,7682,1255,844,943,1620
2020-06-26,0.8677290836653386,0.8350689924498829,0.10284664830119375,0.020420888542478567,977,112,131,6284,0,6528,1071,566,943,7682,1255,844,943,1520
2020-06-27,0.8007968127490039,0.7604790419161677,0.09950248756218906,0.02533378979801438,905,100,148,5694,0,6404,1052,554,943,7682,1255,856,943,1520
2020-06-28,0.7617529880478088,0.7314501431918771,0.09309623430962342,0.02616123865456487,867,89,147,5472,0,6367,1041,542,943,7682,1255,868,943,1520
2020-06-29,0.7537848605577689,0.7678989846394169,0.08985200845665962,0.02627563993897271,861,85,155,5744,0,6367,1043,542,943,7682,1255,868,943,1520
2020-06-30,0.8047808764940239,0.8065607914605571,0.08118811881188119,0.023886378308586184,928,82,148,6048,0,6463,1056,538,943,7682,1255,872,943,1520
2020-07-01,0.846215139442231,0.8314241083051289,0.0800376647834275,0.02379834037889463,977,85,152,6235,0,6516,1082,520,943,7682,1255,890,943,1520
2020-07-02,0.8310756972111554,0.8285602707628221,0.07190795781399809,0.025451688923802042,968,75,162,6203,0,6489,1064,495,943,7682,1255,911,943,1520
2020-07-03,0.8430278884462151,0.7910700338453528,0.07844990548204159,0.025506006253085405,975,83,155,5922,0,6416,1049,500,943,7682,1255,906,943,1520
2020-07-04,0.7928286852589641,0.7189533975527207,0.0814070351758794,0.026797030599311968,914,81,148,5375,0,6287,1033,531,943,7682,1255,875,943,1520
2020-07-05,0.7617529880478088,0.7022910700338454,0.07845188284518828,0.030213160333642262,881,75,163,5232,0,6356,1025,537,943,7682,1255,869,943,1520
2020-07-06,0.7633466135458168,0.7479822962770112,0.0709812108559499,0.03010790114862513,890,68,173,5573,0,6402,1046,537,943,7682,1255,869,943,1520
2020-07-07,0.7952191235059761,0.8217912002082791,0.07915831663326653,0.026136543640107715,919,79,165,6148,0,6475,1036,526,943,7682,1255,880,943,1520
2020-07-08,0.80159362549800794,0.8489976568601927,0.07554671968190854,0.024072370438515792,930,76,157,6365,0,6574,1055,518,943,7682,1255,888,943,1520
2020-07-09,0.8079681274900399,0.8624056235355376,0.07297830374753451,0.021283018867924528,940,74,141,6484,6,6521,1065,527,943,7682,1255,879,943,1520
2020-07-10,0.7593625498007968,0.8237438167143973,0.07345225603357818,0.022439949431099875,883,70,142,6186,0,6512,1079,494,953,7682,1255,901,953,1520
2020-07-11,0.7442231075697211,0.7632127050247332,0.06745182012847965,0.024219682756268124,871,63,142,5721,0,6426,1077,491,953,7682,1255,904,953,1520
2020-07-12,0.6709163346613546,0.7386097370476439,0.07125890736342043,0.027141346492774058,782,60,154,5520,0,6421,1069,502,953,7682,1255,893,953,1520
2020-07-13,0.7927125506072874,0.7853063343717549,0.06435137895812053,0.026776859504132233,916,63,162,5888,0,6523,1055,479,953,7704,1235,916,953,1520
2020-07-14,0.8356275303643724,0.8291796469366562,0.05910852713178295,0.027395115842204134,971,61,175,6213,0,6611,1051,528,953,7704,1235,867,953,1520
2020-07-15,0.8234817813765182,0.8460545008394679,0.05703048180924287,0.026713478858189588,959,58,175,6376,0,6677,1037,498,943,7743,1235,897,943,1520
2020-07-16,0.8607287449392712,0.8509260458489832,0.05738476011288805,0.024809741248097414,1002,61,163,6407,0,6694,1039,498,943,7721,1235,897,943,1520
2020-07-17,0.8251012145748988,0.8269654189871778,0.06673209028459273,0.026468285043069695,951,68,169,6216,0,6655,1056,473,943,7721,1235,922,943,1520
2020-07-18,0.8186234817813766,0.7834477399300609,0.06923837784371908,0.025789386675483552,941,70,156,5893,0,6538,1026,468,943,7721,1235,927,943,1520
2020-07-19,0.7060728744939271,0.7211501100893667,0.11926605504587157,0.024066091954022987,768,104,134,5434,21,6456,1020,487,943,7721,1235,908,943,1520
2020-07-20,0.7821862348178138,0.7897940681258905,0.07763975155279502,0.029189898327320433,891,75,178,5920,0,6472,1044,484,943,7721,1235,911,943,1520
2020-07-21,0.8388663967611336,0.8456158528687994,0.07335907335907337,0.02695665492418441,960,76,176,6353,0,6601,1062,476,943,7721,1235,919,943,1520
2020-07-22,0.8283400809716599,0.8669861416914907,0.07526881720430108,0.027636689572751717,946,77,185,6509,0,6712,1076,458,943,7721,1235,937,943,1520
2020-07-23,0.8186274509803921,0.8457357318493594,0.006986027944111776,0.0045906656465187455,995,7,30,6505,0,6663,1050,434,943,7727,1224,961,943,1520
2020-07-24,0.8545751633986928,0.822440792027954,0.07170172084130019,0.03147128245476003,971,75,200,6155,1,6610,1051,450,943,7727,1224,949,943,1520
2020-07-25,0.8022875816993464,0.7596738708425004,0.07535641547861507,0.03100511073253833,908,74,182,5688,0,6509,1041,442,943,7727,1224,957,943,1520
2020-07-26,0.8129084967320261,0.7397437556619645,0.06030150753768844,0.03813855843247026,935,60,218,5498,0,6481,1022,426,943,7727,1224,973,943,1520
2020-07-27,0.7589869281045751,0.7528148052284198,0.08180839612486544,0.03335052432525357,853,76,194,5623,0,6489,1043,419,943,7727,1224,980,943,1520
2020-07-28,0.8055555555555556,0.807816746473405,0.08316430020283976,0.031079782121115028,904,82,194,6048,0,6639,1064,414,943,7727,1224,985,943,1520
2020-07-29,0.8276143790849673,0.8186877183900608,0.08884501480750247,0.027189377173569396,923,90,172,6154,0,6686,1040,431,943,7727,1224,968,943,1520
2020-07-30,0.9142156862745098,0.8531694695989651,0.0840035746201966,0.030477634571645186,1025,94,201,6394,0,6642,1034,426,956,7730,1224,973,956,1520
2020-07-31,0.8995098039215687,0.8580853816300129,0.08810172570390554,0.0337705412332278,1004,97,224,6409,0,6626,1043,439,956,7730,1224,960,956,1520
2020-08-01,0.8766339869281046,0.7653298835705046,0.05964585274930102,0.021467207572684246,1009,64,127,5789,0,6519,1026,458,956,7730,1224,941,956,1520
2020-08-02,0.8774509803921569,0.7910737386804657,0.05772811918063315,0.023385118560915782,1012,62,143,5972,0,6489,1012,420,956,7730,1224,979,956,1520
2020-08-03,0.8202614379084967,0.7825355756791721,0.07868525896414343,0.03174078360059514,925,79,192,5857,0,6547,1020,401,956,7730,1224,998,956,1520
2020-08-04,0.8676470588235294,0.8429495472186287,0.08662900188323917,0.029772866789441375,970,92,194,6322,0,6616,1031,395,956,7730,1224,1004,956,1520
2020-08-05,0.8715220949263502,0.8523932729624838,0.08450704225352113,0.029139474882379723,975,90,192,6397,0,6653,1034,402,960,7730,1222,999,960,1520
2020-08-06,0.8797054009819967,0.8677878395860285,0.08651162790697674,0.029367918902802624,982,93,197,6511,0,6668,1033,393,960,7730,1222,1008,960,1520
2020-08-07,0.8486088379705401,0.8650711513583441,0.08293153326904533,0.029310602661881263,951,86,196,6491,0,6652,1027,368,960,7730,1222,1033,960,1520
2020-08-08,0.8592471358428805,0.8072445019404916,0.08095238095238096,0.032692307692307694,965,85,204,6036,0,6537,1027,372,960,7730,1222,1029,960,1520
2020-08-09,0.8297697368421053,0.78105126541207,0.08919722497522299,0.03173811897640412,919,90,191,5827,0,6498,1012,377,960,7705,1216,1017,960,1500
2020-08-10,0.7557565789473685,0.7831278390655418,0.08378672470076169,0.029499502817368246,842,77,178,5856,0,6515,1017,402,960,7705,1216,992,960,1500
