year,week,age_group,new_cases,mmwr_startdate,mmwr_enddate,pop_size,F3,F5,F6,new_cases_percap,outcome,report_date
2020,22,5-11,90,2020-05-24,2020-05-30,509735,NA,NA,NA,17.656,case,2023-06-01
2020,22,50-64,623,2020-05-24,2020-05-30,1114015,NA,NA,NA,55.924,case,2023-06-01
2020,22,65-74,183,2020-05-24,2020-05-30,490739,NA,NA,NA,37.291,case,2023-06-01
2020,22,75-84,151,2020-05-24,2020-05-30,252053,NA,NA,NA,59.908,case,2023-06-01
2020,22,85+,147,2020-05-24,2020-05-30,115906,NA,NA,NA,126.827,case,2023-06-01
2020,22,Total,3458,2020-05-24,2020-05-30,5562663,NA,NA,NA,62.164,case,2023-06-01
2020,23,0-4,68,2020-05-31,2020-06-06,351664,NA,NA,NA,19.337,case,2023-06-01
2020,23,12-17,116,2020-05-31,2020-06-06,433734,NA,NA,NA,26.745,case,2023-06-01
2020,23,18-49,1742,2020-05-31,2020-06-06,2294817,NA,NA,NA,75.91,case,2023-06-01
2020,23,5-11,80,2020-05-31,2020-06-06,509735,NA,NA,NA,15.694,case,2023-06-01
2020,23,50-64,464,2020-05-31,2020-06-06,1114015,NA,NA,NA,41.651,case,2023-06-01
2020,23,65-74,111,2020-05-31,2020-06-06,490739,NA,NA,NA,22.619,case,2023-06-01
2020,23,75-84,74,2020-05-31,2020-06-06,252053,NA,NA,NA,29.359,case,2023-06-01
2020,23,85+,77,2020-05-31,2020-06-06,115906,NA,NA,NA,66.433,case,2023-06-01
2020,23,Total,2732,2020-05-31,2020-06-06,5562663,NA,NA,NA,49.113,case,2023-06-01
2020,24,0-4,67,2020-06-07,2020-06-13,351664,NA,NA,NA,19.052,case,2023-06-01
2020,24,12-17,120,2020-06-07,2020-06-13,433734,NA,NA,NA,27.667,case,2023-06-01
2020,24,18-49,1419,2020-06-07,2020-06-13,2294817,NA,NA,NA,61.835,case,2023-06-01
2020,24,5-11,70,2020-06-07,2020-06-13,509735,NA,NA,NA,13.733,case,2023-06-01
2020,24,50-64,388,2020-06-07,2020-06-13,1114015,NA,NA,NA,34.829,case,2023-06-01
2020,24,65-74,121,2020-06-07,2020-06-13,490739,NA,NA,NA,24.657,case,2023-06-01
2020,24,75-84,70,2020-06-07,2020-06-13,252053,NA,NA,NA,27.772,case,2023-06-01
2020,24,85+,40,2020-06-07,2020-06-13,115906,NA,NA,NA,34.511,case,2023-06-01
2020,24,Total,2295,2020-06-07,2020-06-13,5562663,NA,NA,NA,41.257,case,2023-06-01
2020,25,0-4,64,2020-06-14,2020-06-20,351664,NA,NA,NA,18.199,case,2023-06-01
2020,25,12-17,119,2020-06-14,2020-06-20,433734,NA,NA,NA,27.436,case,2023-06-01
2020,25,18-49,1586,2020-06-14,2020-06-20,2294817,NA,NA,NA,69.112,case,2023-06-01
2020,25,5-11,92,2020-06-14,2020-06-20,509735,NA,NA,NA,18.049,case,2023-06-01
2020,25,50-64,336,2020-06-14,2020-06-20,1114015,NA,NA,NA,30.161,case,2023-06-01
2020,25,65-74,84,2020-06-14,2020-06-20,490739,NA,NA,NA,17.117,case,2023-06-01
2020,25,75-84,61,2020-06-14,2020-06-20,252053,NA,NA,NA,24.201,case,2023-06-01
2020,25,85+,37,2020-06-14,2020-06-20,115906,NA,NA,NA,31.922,case,2023-06-01
2020,25,Total,2379,2020-06-14,2020-06-20,5562663,NA,NA,NA,42.767,case,2023-06-01
2020,26,0-4,65,2020-06-21,2020-06-27,351664,NA,NA,NA,18.484,case,2023-06-01
2020,26,12-17,165,2020-06-21,2020-06-27,433734,NA,NA,NA,38.042,case,2023-06-01
2020,26,18-49,2188,2020-06-21,2020-06-27,2294817,NA,NA,NA,95.345,case,2023-06-01
2020,26,5-11,95,2020-06-21,2020-06-27,509735,NA,NA,NA,18.637,case,2023-06-01
2020,26,50-64,399,2020-06-21,2020-06-27,1114015,NA,NA,NA,35.816,case,2023-06-01
2020,26,65-74,102,2020-06-21,2020-06-27,490739,NA,NA,NA,20.785,case,2023-06-01
2020,26,75-84,55,2020-06-21,2020-06-27,252053,NA,NA,NA,21.821,case,2023-06-01
2020,26,85+,42,2020-06-21,2020-06-27,115906,NA,NA,NA,36.236,case,2023-06-01
2020,26,Total,3111,2020-06-21,2020-06-27,5562663,NA,NA,NA,55.926,case,2023-06-01
2020,27,0-4,52,2020-06-28,2020-07-04,351664,NA,NA,NA,14.787,case,2023-06-01
2020,27,12-17,257,2020-06-28,2020-07-04,433734,NA,NA,NA,59.253,case,2023-06-01
2020,27,18-49,2212,2020-06-28,2020-07-04,2294817,NA,NA,NA,96.391,case,2023-06-01
2020,27,5-11,78,2020-06-28,2020-07-04,509735,NA,NA,NA,15.302,case,2023-06-01
2020,27,50-64,409,2020-06-28,2020-07-04,1114015,NA,NA,NA,36.714,case,2023-06-01
2020,27,65-74,112,2020-06-28,2020-07-04,490739,NA,NA,NA,22.823,case,2023-06-01
2020,27,75-84,70,2020-06-28,2020-07-04,252053,NA,NA,NA,27.772,case,2023-06-01
2020,27,85+,57,2020-06-28,2020-07-04,115906,NA,NA,NA,49.178,case,2023-06-01
2020,27,Total,3247,2020-06-28,2020-07-04,5562663,NA,NA,NA,58.371,case,2023-06-01
2020,28,0-4,80,2020-07-05,2020-07-11,351664,NA,NA,NA,22.749,case,2023-06-01
2020,28,12-17,360,2020-07-05,2020-07-11,433734,NA,NA,NA,83,case,2023-06-01
2020,28,18-49,2882,2020-07-05,2020-07-11,2294817,NA,NA,NA,125.587,case,2023-06-01
2020,28,5-11,143,2020-07-05,2020-07-11,509735,NA,NA,NA,28.054,case,2023-06-01
2020,28,50-64,657,2020-07-05,2020-07-11,1114015,NA,NA,NA,58.976,case,2023-06-01
2020,28,65-74,188,2020-07-05,2020-07-11,490739,NA,NA,NA,38.31,case,2023-06-01
2020,28,75-84,83,2020-07-05,2020-07-11,252053,NA,NA,NA,32.93,case,2023-06-01
2020,28,85+,42,2020-07-05,2020-07-11,115906,NA,NA,NA,36.236,case,2023-06-01
