date,day,cases_7day,tests_7day,positive_rate_7day,new_hosp_7day,deaths_7day,active_cases_7day,new_vaccines_1x_7day,new_vaccines_full_7day,new_boosters_7day
2021-03-02,Tuesday,804.8571428571429,26925.571428571428,0.029891924299258802,42.57142857142857,8,7017.571428571428,20928.714285714286,15804.714285714286,NA
2021-03-01,Monday,814.8571428571429,26725.571428571428,0.030489793082066934,35.57142857142857,7.571428571428571,6991.142857142857,20356.428571428572,15769.857142857143,NA
2021-02-28,Sunday,804.1428571428571,26487.285714285714,0.030359579528722674,37.714285714285715,7.285714285714286,6955.428571428572,17677.714285714286,15890,NA
2021-02-27,Saturday,815.2857142857143,26354.571428571428,0.03093526739736126,41.142857142857146,7.428571428571429,6945.428571428572,13425,16505,NA
2021-02-26,Friday,823.5714285714286,26987.571428571428,0.030516692869204342,45,7.142857142857143,6927.428571428572,10947.857142857143,17064.14285714286,NA
2021-02-25,Thursday,801,27775.285714285714,0.02883858723325464,40.57142857142857,6.571428571428571,6935.142857142857,10415.57142857143,17447.714285714286,NA
2021-02-24,Wednesday,791.2857142857143,26596,0.029752057237393378,41.714285714285715,7.571428571428571,6930,10627.42857142857,17792.85714285714,NA
2021-02-23,Tuesday,794.4285714285714,26951.85714285714,0.029475837869640576,40.714285714285715,7.714285714285714,6937.714285714285,10839.857142857143,17447,NA
2021-02-22,Monday,786.2857142857143,26946.85714285714,0.02917912505036368,40.142857142857146,7.857142857142857,6984.142857142857,12059.714285714286,16972.428571428572,NA
2021-02-21,Sunday,793.4285714285714,27023.85714285714,0.029360300686694825,42.714285714285715,8,7042.285714285715,13345,16254.42857142857,NA
2021-02-20,Saturday,777.4285714285714,26822,0.02898473534518572,44.285714285714285,7.714285714285714,7105.714285714285,14416.57142857143,15182,NA
2021-02-19,Friday,788.8571428571429,26623.14285714286,0.029630504072718687,45.857142857142854,7.142857142857143,7205.714285714285,15740.714285714286,13805.857142857143,NA
2021-02-18,Thursday,797,26353.285714285714,0.030242908176264276,50.285714285714285,8.714285714285714,7307,15869.57142857143,12411.857142857143,NA
2021-02-17,Wednesday,794,27474.571428571428,0.02889944988092886,51.857142857142854,10.142857142857142,7416.142857142857,16003.857142857143,11133.714285714286,NA
2021-02-16,Tuesday,778.8571428571429,27241.14285714286,0.02859120657828495,54.285714285714285,10.285714285714286,7538.285714285715,16720.85714285714,11127.857142857143,NA
2021-02-15,Monday,797.4285714285714,27362.571428571428,0.02914304211174806,59.57142857142857,10.857142857142858,7657,16978.14285714286,11334.42857142857,NA
2021-02-14,Sunday,790.7142857142857,27407.85714285714,0.028849912694482813,58.714285714285715,11,7776.428571428572,15297.857142857143,10130.42857142857,NA
2021-02-13,Saturday,810,27563.285714285714,0.029386917379744276,61.42857142857143,11.428571428571429,7909,16658.285714285714,8812.714285714286,NA
2021-02-12,Friday,819.4285714285714,28102.285714285714,0.029158787287256755,61.42857142857143,12.714285714285714,8025.428571428572,17150.428571428572,7384.285714285715,NA
2021-02-11,Thursday,818.8571428571429,27413.714285714286,0.029870346437653728,60.57142857142857,13.142857142857142,8153.571428571428,17716.85714285714,6935,NA
2021-02-10,Wednesday,890.7142857142857,28560.85714285714,0.03118653901943719,61.57142857142857,12.142857142857142,8286.57142857143,17850.14285714286,6556.857142857143,NA
2021-02-09,Tuesday,889.5714285714286,28671.714285714286,0.03102609839463483,59.42857142857143,14,8355.57142857143,17364.85714285714,6457.714285714285,NA
2021-02-08,Monday,896.2857142857143,28672.14285714286,0.03125980917266635,61.142857142857146,14.285714285714286,8450,16365.714285714286,6073.571428571428,NA
2021-02-07,Sunday,919.5714285714286,29031.714285714286,0.03167472025666512,62.42857142857143,14.142857142857142,8566.57142857143,19400.428571428572,6417.571428571428,NA
2021-02-06,Saturday,931.2857142857143,29396.571428571428,0.03168007930954047,59.57142857142857,14.571428571428571,8691.714285714286,20576,5994.285714285715,NA
2021-02-05,Friday,939.4285714285714,29088.85714285714,0.03229513510327961,59.57142857142857,15,8849.57142857143,21743.85714285714,5910,NA
2021-02-04,Thursday,952.4285714285714,30187.571428571428,0.03155035421389124,62.714285714285715,15.857142857142858,9035.142857142857,22121.85714285714,6211,NA
2021-02-03,Wednesday,941.7142857142857,29813.285714285714,0.03158706808565692,60,15.714285714285714,9228.142857142857,22480.14285714286,7041.857142857143,NA
2021-02-02,Tuesday,967.7142857142857,29768.428571428572,0.032508074230128754,61.857142857142854,14.857142857142858,9460.714285714286,23309.85714285714,7051.571428571428,NA
2021-02-01,Monday,981.1428571428571,29840.428571428572,0.032879650330567826,60,14.857142857142858,9669.42857142857,24991,6973.142857142857,NA
2021-01-31,Sunday,990.7142857142857,29868.714285714286,0.033168963224778913,60.57142857142857,15,9883.142857142857,24412,6932.857142857143,NA
2021-01-30,Saturday,1019.2857142857143,30474.428571428572,0.03344724616891914,57.714285714285715,17.714285714285715,10111.285714285714,21720.14285714286,6520.857142857143,NA
2021-01-29,Friday,1087.5714285714287,32019.285714285714,0.03396613648024628,61.857142857142854,19.428571428571427,10304.285714285714,18798,6748.285714285715,NA
2021-01-28,Thursday,1141.857142857143,31489.428571428572,0.036261602533276475,64.28571428571429,18.428571428571427,10503.57142857143,16644,6176.142857142857,NA
2021-01-27,Wednesday,1135.7142857142858,30581.714285714286,0.03713703800590456,66.42857142857143,20.714285714285715,10665.857142857143,14350,4969,NA
2021-01-26,Tuesday,1190.857142857143,30208.85714285714,0.039420794279823326,71,23,10854.714285714286,12044.42857142857,4187,NA
2021-01-25,Monday,1218.7142857142858,30756.428571428572,0.039624700991662605,72,22.714285714285715,11060.285714285714,10360.42857142857,4201.571428571428,NA
2021-01-24,Sunday,1245.2857142857142,30726.428571428572,0.04052816328428296,73.85714285714286,24,11300.714285714286,8924.57142857143,3912.1428571428573,NA
2021-01-23,Saturday,1269.2857142857142,30235.14285714286,0.04198047683395859,82,25.142857142857142,11574.714285714286,7864.714285714285,3940.5714285714284,NA
2021-01-22,Friday,1264.142857142857,28506.85714285714,0.04434522019764668,83.14285714285714,26,11961.285714285714,7430,3551.285714285714,NA
2021-01-21,Thursday,1280.5714285714287,29091.428571428572,0.044018856806128465,80.42857142857143,27.714285714285715,12490.142857142857,7215.285714285715,3843.1428571428573,NA
2021-01-20,Wednesday,1324.2857142857142,28497.85714285714,0.04646965937288518,84.28571428571429,29.285714285714285,13085.857142857143,7705.571428571428,4370.428571428572,NA
2021-01-19,Tuesday,1362.4285714285713,29376.428571428572,0.04637829163323364,83.71428571428571,31.571428571428573,13752.42857142857,7946.714285714285,NA,NA
2021-01-18,Monday,1421.4285714285713,31400.14285714286,0.04526821988980942,87.57142857142857,32.57142857142857,14224.714285714286,NA,NA,NA
2021-01-17,Sunday,1421.4285714285713,30962,0.045908809877545746,86.28571428571429,31.428571428571427,14617.714285714286,NA,NA,NA
2021-01-16,Saturday,1535.857142857143,32222.714285714286,0.04766380414880364,84.57142857142857,32,15064,NA,NA,NA
2021-01-15,Friday,1673,33897.71428571428,0.04935436017599164,81.14285714285714,32.857142857142854,15392.142857142857,NA,NA,NA
2021-01-14,Thursday,1779.7142857142858,34281.857142857145,0.05191417367787209,81.71428571428571,35,15559.857142857143,NA,NA,NA
2021-01-13,Wednesday,1837.7142857142858,34914.857142857145,0.05263416310698679,83,35.142857142857146,15601.142857142857,NA,NA,NA
2021-01-12,Tuesday,1958,34820.142857142855,0.05623181984155312,84.85714285714286,37.57142857142857,15559.42857142857,NA,NA,NA
2021-01-11,Monday,1997.5714285714287,32956.71428571428,0.06061197154709424,90.71428571428571,38.285714285714285,15359.42857142857,NA,NA,NA
2021-01-10,Sunday,2307.285714285714,31808.85714285714,0.07253595135227385,95.42857142857143,39.57142857142857,15052.714285714286,NA,NA,NA
2021-01-09,Saturday,2385.714285714286,39839.28571428572,0.05988346033168983,102.14285714285714,40.857142857142854,14422.142857142857,NA,NA,NA
2021-01-08,Friday,2030.142857142857,33751.857142857145,0.06014907116222176,90.42857142857143,34.714285714285715,14125.166666666666,NA,NA,NA
2021-01-07,Thursday,2052.4285714285716,32695.285714285714,0.0627744497896158,96.71428571428571,35.57142857142857,13735,NA,NA,NA
2021-01-06,Wednesday,2081,33610,0.061916096399880986,98.42857142857143,38,13303.5,NA,NA,NA
2021-01-05,Tuesday,2034.2857142857142,33919.71428571428,0.05997355099015322,104.57142857142857,37.857142857142854,12806.333333333334,NA,NA,NA
2021-01-04,Monday,1945.142857142857,32770.42857142857,0.059356649941366996,108.57142857142857,40.42857142857143,12685.5,NA,NA,NA
2021-01-03,Sunday,1650.7142857142858,33257.28571428572,0.049634666517755506,111.42857142857143,40.42857142857143,12859,NA,NA,NA
