year,week,variant_cat,new_cases,mmwr_startdate,mmwr_enddate,report_date
2020,23,Omicron,0,2020-05-31,2020-06-06,2022-10-13
2020,23,Other,0,2020-05-31,2020-06-06,2022-10-13
2020,23,VOI,0,2020-05-31,2020-06-06,2022-10-13
2020,24,Alpha,0,2020-06-07,2020-06-13,2022-10-13
2020,24,Beta,0,2020-06-07,2020-06-13,2022-10-13
2020,24,Delta,0,2020-06-07,2020-06-13,2022-10-13
2020,24,Gamma,0,2020-06-07,2020-06-13,2022-10-13
2020,24,Omicron,0,2020-06-07,2020-06-13,2022-10-13
2020,24,Other,0,2020-06-07,2020-06-13,2022-10-13
2020,24,VOI,0,2020-06-07,2020-06-13,2022-10-13
2020,25,Alpha,0,2020-06-14,2020-06-20,2022-10-13
2020,25,Beta,0,2020-06-14,2020-06-20,2022-10-13
2020,25,Delta,0,2020-06-14,2020-06-20,2022-10-13
2020,25,Gamma,0,2020-06-14,2020-06-20,2022-10-13
2020,25,Omicron,0,2020-06-14,2020-06-20,2022-10-13
2020,25,Other,1,2020-06-14,2020-06-20,2022-10-13
2020,25,VOI,0,2020-06-14,2020-06-20,2022-10-13
2020,26,Alpha,1,2020-06-21,2020-06-27,2022-10-13
2020,26,Beta,0,2020-06-21,2020-06-27,2022-10-13
2020,26,Delta,0,2020-06-21,2020-06-27,2022-10-13
2020,26,Gamma,0,2020-06-21,2020-06-27,2022-10-13
2020,26,Omicron,0,2020-06-21,2020-06-27,2022-10-13
2020,26,Other,1,2020-06-21,2020-06-27,2022-10-13
2020,26,VOI,0,2020-06-21,2020-06-27,2022-10-13
2020,27,Alpha,0,2020-06-28,2020-07-04,2022-10-13
2020,27,Beta,0,2020-06-28,2020-07-04,2022-10-13
2020,27,Delta,0,2020-06-28,2020-07-04,2022-10-13
2020,27,Gamma,0,2020-06-28,2020-07-04,2022-10-13
2020,27,Omicron,0,2020-06-28,2020-07-04,2022-10-13
2020,27,Other,0,2020-06-28,2020-07-04,2022-10-13
2020,27,VOI,0,2020-06-28,2020-07-04,2022-10-13
2020,28,Alpha,0,2020-07-05,2020-07-11,2022-10-13
2020,28,Beta,0,2020-07-05,2020-07-11,2022-10-13
2020,28,Delta,0,2020-07-05,2020-07-11,2022-10-13
2020,28,Gamma,0,2020-07-05,2020-07-11,2022-10-13
2020,28,Omicron,0,2020-07-05,2020-07-11,2022-10-13
2020,28,Other,0,2020-07-05,2020-07-11,2022-10-13
2020,28,VOI,0,2020-07-05,2020-07-11,2022-10-13
2020,29,Alpha,1,2020-07-12,2020-07-18,2022-10-13
2020,29,Beta,0,2020-07-12,2020-07-18,2022-10-13
2020,29,Delta,0,2020-07-12,2020-07-18,2022-10-13
2020,29,Gamma,0,2020-07-12,2020-07-18,2022-10-13
2020,29,Omicron,0,2020-07-12,2020-07-18,2022-10-13
2020,29,Other,0,2020-07-12,2020-07-18,2022-10-13
2020,29,VOI,0,2020-07-12,2020-07-18,2022-10-13
2020,30,Alpha,0,2020-07-19,2020-07-25,2022-10-13
2020,30,Beta,0,2020-07-19,2020-07-25,2022-10-13
2020,30,Delta,0,2020-07-19,2020-07-25,2022-10-13
2020,30,Gamma,0,2020-07-19,2020-07-25,2022-10-13
2020,30,Omicron,0,2020-07-19,2020-07-25,2022-10-13
2020,30,Other,0,2020-07-19,2020-07-25,2022-10-13
2020,30,VOI,0,2020-07-19,2020-07-25,2022-10-13
2020,31,Alpha,0,2020-07-26,2020-08-01,2022-10-13
2020,31,Beta,0,2020-07-26,2020-08-01,2022-10-13
2020,31,Delta,0,2020-07-26,2020-08-01,2022-10-13
2020,31,Gamma,0,2020-07-26,2020-08-01,2022-10-13
2020,31,Omicron,0,2020-07-26,2020-08-01,2022-10-13
2020,31,Other,0,2020-07-26,2020-08-01,2022-10-13
2020,31,VOI,0,2020-07-26,2020-08-01,2022-10-13
2020,32,Alpha,0,2020-08-02,2020-08-08,2022-10-13
2020,32,Beta,0,2020-08-02,2020-08-08,2022-10-13
2020,32,Delta,0,2020-08-02,2020-08-08,2022-10-13
2020,32,Gamma,0,2020-08-02,2020-08-08,2022-10-13
2020,32,Omicron,0,2020-08-02,2020-08-08,2022-10-13
2020,32,Other,0,2020-08-02,2020-08-08,2022-10-13
2020,32,VOI,0,2020-08-02,2020-08-08,2022-10-13
2020,33,Alpha,0,2020-08-09,2020-08-15,2022-10-13
2020,33,Beta,0,2020-08-09,2020-08-15,2022-10-13
2020,33,Delta,0,2020-08-09,2020-08-15,2022-10-13
2020,33,Gamma,0,2020-08-09,2020-08-15,2022-10-13
2020,33,Omicron,0,2020-08-09,2020-08-15,2022-10-13
2020,33,Other,0,2020-08-09,2020-08-15,2022-10-13
2020,33,VOI,0,2020-08-09,2020-08-15,2022-10-13
2020,34,Alpha,0,2020-08-16,2020-08-22,2022-10-13
2020,34,Beta,0,2020-08-16,2020-08-22,2022-10-13
2020,34,Delta,0,2020-08-16,2020-08-22,2022-10-13
2020,34,Gamma,0,2020-08-16,2020-08-22,2022-10-13
2020,34,Omicron,0,2020-08-16,2020-08-22,2022-10-13
2020,34,Other,0,2020-08-16,2020-08-22,2022-10-13
2020,34,VOI,0,2020-08-16,2020-08-22,2022-10-13
2020,35,Alpha,0,2020-08-23,2020-08-29,2022-10-13
2020,35,Beta,0,2020-08-23,2020-08-29,2022-10-13
2020,35,Delta,0,2020-08-23,2020-08-29,2022-10-13
2020,35,Gamma,0,2020-08-23,2020-08-29,2022-10-13
2020,35,Omicron,0,2020-08-23,2020-08-29,2022-10-13
2020,35,Other,0,2020-08-23,2020-08-29,2022-10-13
2020,35,VOI,0,2020-08-23,2020-08-29,2022-10-13
2020,36,Alpha,0,2020-08-30,2020-09-05,2022-10-13
2020,36,Beta,0,2020-08-30,2020-09-05,2022-10-13
2020,36,Delta,0,2020-08-30,2020-09-05,2022-10-13
2020,36,Gamma,0,2020-08-30,2020-09-05,2022-10-13
2020,36,Omicron,0,2020-08-30,2020-09-05,2022-10-13
2020,36,Other,0,2020-08-30,2020-09-05,2022-10-13
2020,36,VOI,0,2020-08-30,2020-09-05,2022-10-13
2020,37,Alpha,0,2020-09-06,2020-09-12,2022-10-13
2020,37,Beta,0,2020-09-06,2020-09-12,2022-10-13
2020,37,Delta,0,2020-09-06,2020-09-12,2022-10-13
2020,37,Gamma,0,2020-09-06,2020-09-12,2022-10-13
2020,37,Omicron,0,2020-09-06,2020-09-12,2022-10-13
2020,37,Other,1,2020-09-06,2020-09-12,2022-10-13
2020,37,VOI,0,2020-09-06,2020-09-12,2022-10-13
2020,38,Alpha,0,2020-09-13,2020-09-19,2022-10-13
2020,38,Beta,0,2020-09-13,2020-09-19,2022-10-13
2020,38,Delta,0,2020-09-13,2020-09-19,2022-10-13
2020,38,Gamma,0,2020-09-13,2020-09-19,2022-10-13
2020,38,Omicron,0,2020-09-13,2020-09-19,2022-10-13
2020,38,Other,1,2020-09-13,2020-09-19,2022-10-13
2020,38,VOI,0,2020-09-13,2020-09-19,2022-10-13
2020,39,Alpha,0,2020-09-20,2020-09-26,2022-10-13
2020,39,Beta,0,2020-09-20,2020-09-26,2022-10-13
2020,39,Delta,0,2020-09-20,2020-09-26,2022-10-13
2020,39,Gamma,0,2020-09-20,2020-09-26,2022-10-13
2020,39,Omicron,0,2020-09-20,2020-09-26,2022-10-13
2020,39,Other,0,2020-09-20,2020-09-26,2022-10-13
2020,39,VOI,0,2020-09-20,2020-09-26,2022-10-13
2020,40,Alpha,0,2020-09-27,2020-10-03,2022-10-13
2020,40,Beta,0,2020-09-27,2020-10-03,2022-10-13
2020,40,Delta,0,2020-09-27,2020-10-03,2022-10-13
2020,40,Gamma,0,2020-09-27,2020-10-03,2022-10-13
2020,40,Omicron,0,2020-09-27,2020-10-03,2022-10-13
2020,40,Other,0,2020-09-27,2020-10-03,2022-10-13
2020,40,VOI,0,2020-09-27,2020-10-03,2022-10-13
2020,41,Alpha,0,2020-10-04,2020-10-10,2022-10-13
2020,41,Beta,0,2020-10-04,2020-10-10,2022-10-13
2020,41,Delta,0,2020-10-04,2020-10-10,2022-10-13
2020,41,Gamma,0,2020-10-04,2020-10-10,2022-10-13
2020,41,Omicron,0,2020-10-04,2020-10-10,2022-10-13
2020,41,Other,0,2020-10-04,2020-10-10,2022-10-13
2020,41,VOI,0,2020-10-04,2020-10-10,2022-10-13
2020,42,Alpha,0,2020-10-11,2020-10-17,2022-10-13
2020,42,Beta,0,2020-10-11,2020-10-17,2022-10-13
2020,42,Delta,0,2020-10-11,2020-10-17,2022-10-13
2020,42,Gamma,0,2020-10-11,2020-10-17,2022-10-13
2020,42,Omicron,0,2020-10-11,2020-10-17,2022-10-13
2020,42,Other,0,2020-10-11,2020-10-17,2022-10-13
2020,42,VOI,0,2020-10-11,2020-10-17,2022-10-13
2020,43,Alpha,0,2020-10-18,2020-10-24,2022-10-13
2020,43,Beta,0,2020-10-18,2020-10-24,2022-10-13
2020,43,Delta,0,2020-10-18,2020-10-24,2022-10-13
2020,43,Gamma,0,2020-10-18,2020-10-24,2022-10-13
2020,43,Omicron,0,2020-10-18,2020-10-24,2022-10-13
2020,43,Other,2,2020-10-18,2020-10-24,2022-10-13
2020,43,VOI,0,2020-10-18,2020-10-24,2022-10-13
2020,44,Alpha,0,2020-10-25,2020-10-31,2022-10-13
2020,44,Beta,0,2020-10-25,2020-10-31,2022-10-13
2020,44,Delta,0,2020-10-25,2020-10-31,2022-10-13
2020,44,Gamma,0,2020-10-25,2020-10-31,2022-10-13
2020,44,Omicron,0,2020-10-25,2020-10-31,2022-10-13
2020,44,Other,4,2020-10-25,2020-10-31,2022-10-13
2020,44,VOI,0,2020-10-25,2020-10-31,2022-10-13
2020,45,Alpha,1,2020-11-01,2020-11-07,2022-10-13
2020,45,Beta,0,2020-11-01,2020-11-07,2022-10-13
2020,45,Delta,0,2020-11-01,2020-11-07,2022-10-13
2020,45,Gamma,0,2020-11-01,2020-11-07,2022-10-13
2020,45,Omicron,0,2020-11-01,2020-11-07,2022-10-13
2020,45,Other,3,2020-11-01,2020-11-07,2022-10-13
2020,45,VOI,0,2020-11-01,2020-11-07,2022-10-13
2020,46,Alpha,0,2020-11-08,2020-11-14,2022-10-13
2020,46,Beta,0,2020-11-08,2020-11-14,2022-10-13
2020,46,Delta,0,2020-11-08,2020-11-14,2022-10-13
2020,46,Gamma,0,2020-11-08,2020-11-14,2022-10-13
2020,46,Omicron,0,2020-11-08,2020-11-14,2022-10-13
2020,46,Other,0,2020-11-08,2020-11-14,2022-10-13
2020,46,VOI,0,2020-11-08,2020-11-14,2022-10-13
2020,47,Alpha,0,2020-11-15,2020-11-21,2022-10-13
2020,47,Beta,0,2020-11-15,2020-11-21,2022-10-13
2020,47,Delta,0,2020-11-15,2020-11-21,2022-10-13
2020,47,Gamma,0,2020-11-15,2020-11-21,2022-10-13
2020,47,Omicron,0,2020-11-15,2020-11-21,2022-10-13
2020,47,Other,2,2020-11-15,2020-11-21,2022-10-13
2020,47,VOI,0,2020-11-15,2020-11-21,2022-10-13
2020,48,Alpha,0,2020-11-22,2020-11-28,2022-10-13
2020,48,Beta,0,2020-11-22,2020-11-28,2022-10-13
2020,48,Delta,0,2020-11-22,2020-11-28,2022-10-13
2020,48,Gamma,0,2020-11-22,2020-11-28,2022-10-13
2020,48,Omicron,0,2020-11-22,2020-11-28,2022-10-13
2020,48,Other,24,2020-11-22,2020-11-28,2022-10-13
2020,48,VOI,0,2020-11-22,2020-11-28,2022-10-13
2020,49,Alpha,0,2020-11-29,2020-12-05,2022-10-13
2020,49,Beta,0,2020-11-29,2020-12-05,2022-10-13
2020,49,Delta,0,2020-11-29,2020-12-05,2022-10-13
2020,49,Gamma,0,2020-11-29,2020-12-05,2022-10-13
2020,49,Omicron,0,2020-11-29,2020-12-05,2022-10-13
2020,49,Other,5,2020-11-29,2020-12-05,2022-10-13
2020,49,VOI,0,2020-11-29,2020-12-05,2022-10-13
2020,50,Alpha,0,2020-12-06,2020-12-12,2022-10-13
