year,week,mmwr_startdate,mmwr_enddate,report_date,sex,pop_size,new_deaths,new_deaths_7day
2020,50,2020-12-06,2020-12-12,2022-12-29,Total,5563378,499,9
2020,51,2020-12-13,2020-12-19,2022-12-29,Female,2792505,193,6.9
2020,51,2020-12-13,2020-12-19,2022-12-29,Male,2770873,219,7.9
2020,51,2020-12-13,2020-12-19,2022-12-29,Total,5563378,412,7.4
2020,52,2020-12-20,2020-12-26,2022-12-29,Female,2792505,163,5.8
2020,52,2020-12-20,2020-12-26,2022-12-29,Male,2770873,164,5.9
2020,52,2020-12-20,2020-12-26,2022-12-29,Total,5563378,327,5.9
2020,53,2020-12-27,2021-01-02,2022-12-29,Female,2792505,129,4.6
2020,53,2020-12-27,2021-01-02,2022-12-29,Male,2770873,143,5.2
2020,53,2020-12-27,2021-01-02,2022-12-29,Total,5563378,272,4.9
2021,1,2021-01-03,2021-01-09,2022-12-29,Female,2792505,117,4.2
2021,1,2021-01-03,2021-01-09,2022-12-29,Male,2770873,119,4.3
2021,1,2021-01-03,2021-01-09,2022-12-29,Total,5563378,236,4.2
2021,2,2021-01-10,2021-01-16,2022-12-29,Female,2792505,101,3.6
2021,2,2021-01-10,2021-01-16,2022-12-29,Male,2770873,108,3.9
2021,2,2021-01-10,2021-01-16,2022-12-29,Total,5563378,209,3.8
2021,3,2021-01-17,2021-01-23,2022-12-29,Female,2792505,66,2.4
2021,3,2021-01-17,2021-01-23,2022-12-29,Male,2770873,60,2.2
2021,3,2021-01-17,2021-01-23,2022-12-29,Total,5563378,126,2.3
2021,4,2021-01-24,2021-01-30,2022-12-29,Female,2792505,53,1.9
2021,4,2021-01-24,2021-01-30,2022-12-29,Male,2770873,62,2.2
2021,4,2021-01-24,2021-01-30,2022-12-29,Total,5563378,115,2.1
2021,5,2021-01-31,2021-02-06,2022-12-29,Female,2792505,40,1.4
2021,5,2021-01-31,2021-02-06,2022-12-29,Male,2770873,48,1.7
2021,5,2021-01-31,2021-02-06,2022-12-29,Total,5563378,88,1.6
2021,6,2021-02-07,2021-02-13,2022-12-29,Female,2792505,39,1.4
2021,6,2021-02-07,2021-02-13,2022-12-29,Male,2770873,47,1.7
2021,6,2021-02-07,2021-02-13,2022-12-29,Total,5563378,86,1.5
2021,7,2021-02-14,2021-02-20,2022-12-29,Female,2792505,28,1
2021,7,2021-02-14,2021-02-20,2022-12-29,Male,2770873,33,1.2
2021,7,2021-02-14,2021-02-20,2022-12-29,Total,5563378,61,1.1
2021,8,2021-02-21,2021-02-27,2022-12-29,Female,2792505,21,0.8
2021,8,2021-02-21,2021-02-27,2022-12-29,Male,2770873,20,0.7
2021,8,2021-02-21,2021-02-27,2022-12-29,Total,5563378,41,0.7
2021,9,2021-02-28,2021-03-06,2022-12-29,Female,2792505,20,0.7
2021,9,2021-02-28,2021-03-06,2022-12-29,Male,2770873,29,1
2021,9,2021-02-28,2021-03-06,2022-12-29,Total,5563378,49,0.9
2021,10,2021-03-07,2021-03-13,2022-12-29,Female,2792505,25,0.9
2021,10,2021-03-07,2021-03-13,2022-12-29,Male,2770873,21,0.8
2021,10,2021-03-07,2021-03-13,2022-12-29,Total,5563378,46,0.8
2021,11,2021-03-14,2021-03-20,2022-12-29,Female,2792505,19,0.7
2021,11,2021-03-14,2021-03-20,2022-12-29,Male,2770873,17,0.6
2021,11,2021-03-14,2021-03-20,2022-12-29,Total,5563378,36,0.6
2021,12,2021-03-21,2021-03-27,2022-12-29,Female,2792505,7,0.3
2021,12,2021-03-21,2021-03-27,2022-12-29,Male,2770873,23,0.8
2021,12,2021-03-21,2021-03-27,2022-12-29,Total,5563378,30,0.5
2021,13,2021-03-28,2021-04-03,2022-12-29,Female,2792505,18,0.6
2021,13,2021-03-28,2021-04-03,2022-12-29,Male,2770873,30,1.1
2021,13,2021-03-28,2021-04-03,2022-12-29,Total,5563378,48,0.9
