date,day,cases_7day,tests_7day,deaths_7day,deaths_ltc_7day,new_hosp_7day,positive_rate_7day,positive_rate_7day_pcr,active_cases_7day,new_vaccine_doses_7day,new_vaccines_1x_7day,new_vaccines_full_7day,new_boosters_7day,antigens_7day,antigen_tests_7day,case_growthrate_7day,test_growthrate_7day,tested_people_growthrate_7day,hosp_growthrate_7day,death_growthrate_7day,case_doubling_time,test_doubling_time,hosp_doubling_time,deaths_doubling_time
2021-09-27,Monday,2318.285714285714,39455,15,3.142857142857143,99.28571428571429,0.05875771674783207,0.06186547643002177,17963.2,6090.636363636364,2436.8571428571427,3392.4285714285716,982.8571428571429,385.7142857142857,8216.714285714286,NA,0.0032453107421188993,0.0038886733062758632,0.002674280194402412,0.001866970936452431,NA,213.58422525276634,259.19018583422377,371.26832937048573
2021-09-28,Tuesday,2297,40005,14,3,99.57142857142857,0.05741782277215348,0.06104660424850137,18098.2,7605.363636363636,2440.1428571428573,3233.285714285714,2201.8571428571427,381,8619.142857142857,NA,0.003264431445330697,0.00391365795781895,0.002673783287357218,0.001739312309987584,NA,212.33320171308645,259.23835482009304,398.51795251474607
2021-09-29,Wednesday,2359.1428571428573,40244.57142857143,16.428571428571427,3.4285714285714284,98.42857142857143,0.05862015107627648,0.062379196019665184,18274.6,9721.777777777777,2486.285714285714,3145.5714285714284,3283.285714285714,399.7142857142857,8833,NA,0.003274826687944924,0.0039267674408024,0.0026257862308952185,0.0020357859898266295,NA,211.659195007636,263.9770033083113,340.4813590543349
2021-09-30,Thursday,2422,40139.42857142857,14.857142857142858,3.5714285714285716,98.14285714285714,0.06033967313934286,0.06396618431901996,18551.8,9422.666666666666,2336.1428571428573,2831.285714285714,4436,405,8607.142857142857,NA,0.0032536379277448013,0.003927174309615359,0.002609599224556217,0.0018366999028900694,NA,213.03758929328296,265.6144185043665,377.3872800174214
2021-10-01,Friday,2524.4285714285716,40482.57142857143,13.428571428571429,2.7142857142857144,96.71428571428571,0.0623584046750277,0.06612805221109486,18994.4,10473.666666666666,2379,2751,5650,425.57142857142856,8743.285714285714,NA,0.0032679308070918517,0.003976493825094288,0.002564641807624771,0.0016553667702514016,NA,212.1058313277999,270.27056117512944,418.7272530876505
2021-10-04,Monday,2630.5714285714284,41032.28571428572,13.285714285714286,3,95.57142857142857,0.06410979507426208,0.06867780912332996,19529.4,9159.272727272728,2329.714285714286,2568.285714285714,6674.857142857143,418.7142857142857,8826,NA,0.003298962058610609,0.003971830188222748,0.0025276236312407846,0.001633403710973916,NA,210.11068579911804,274.22879418946025,424.3575399658279
2021-10-05,Tuesday,2763.4285714285716,41736.42857142857,13.428571428571429,2.857142857142857,96.71428571428571,0.0662114288648149,0.07085471751228914,20084.4,11417.545454545454,2106.285714285714,2175.714285714286,7910.428571428572,426.2857142857143,8751.42857142857,NA,0.003328434967765264,0.003934514582360256,0.002549866218570277,0.001648641210524485,NA,208.25017982109756,271.83668520013435,420.43543260660897
2021-10-06,Wednesday,3021.8571428571427,42216.57142857143,14.714285714285714,3.2857142857142856,94.85714285714286,0.07157988061560118,0.07619207623084644,20968,14686.222222222223,2001.4285714285713,2143.285714285714,7997.428571428572,495.14285714285717,9054.142857142857,NA,0.003356890016338892,0.003481934052802917,0.002485434749710937,0.0017991200631321455,NA,206.484924196566,278.8836764435519,385.2701077399044
2021-10-07,Thursday,2993.285714285714,41466.57142857143,17.428571428571427,4.428571428571429,108.57142857142857,0.07218551259878869,0.07624836867686144,21777,13412.222222222223,1902.7142857142858,2103.714285714286,8123.714285714285,481,8517.857142857143,NA,0.003285529153610689,0.0038512701770937303,0.0028330616730469138,0.0021255529444600884,NA,210.96972455660583,244.6636397486103,326.10205375806885
2021-10-08,Friday,2985.714285714286,41777.71428571428,17.857142857142858,4.571428571428571,111.14285714285714,0.07146667396151057,0.07612952196939637,22542.8,15779.888888888889,2339.714285714286,2578,9864.57142857143,464,8653.714285714286,NA,0.0032962494853054913,NA,0.0028922122909793885,0.0021729524284653007,NA,210.2835915940099,239.6598557864593,318.98865869304694
